star_id,score_raw,p_highclass
EPIC 204276894,1.032976,1
EPIC 203311200,1.063138,1
TIC 466928064,0.991207,1
EPIC 249731291,0.985390,1
EPIC 204546592,0.995584,1
EPIC 211920811,0.960179,1
TIC 347553438,1.119232,1
TIC 187861378,0.999098,1
EPIC 203914123,1.051859,1
TIC 250478345,1.061500,1
TIC 335813590,0.920559,1
TIC 187278212,1.057978,1
K2-160,1.036893,1
EPIC 203294831,0.997676,1
TIC 161568891,0.893706,1
EPIC 215502661,0.907492,1
EPIC 204579445,1.033824,1
EPIC 247281516,0.945585,1
TIC 268689126,0.946065,1
TIC 222485202,0.922258,1
EPIC 204197636,0.974229,1
EPIC 248740905,0.995907,1
EPIC 212535959,0.854402,1
TIC 237637903,0.892042,1
TIC 441135051,1.022570,1
EPIC 212679181,1.018832,1
KIC 3757590,0.954807,1
K2-366,1.020532,1
EPIC 201111557,0.949395,1
TIC 9804616,1.025900,1
K2-409,1.052674,1
EPIC 204057095,1.018111,1
EPIC 212304395,1.044011,1
TIC 243921117,0.986390,1
TIC 305790119,0.883785,1
K2-233,0.934181,1
K2-408,1.082571,1
TIC 259151170,0.908405,1
WASP-157,1.044117,1
KIC 5632781,0.943854,1
TIC 317849098,0.891070,1
KIC 5598639,0.978291,1
KIC 8700506,0.972207,1
EPIC 205377483,1.132844,1
TIC 101133275,1.007345,1
EPIC 203099398,1.019289,1
TIC 268532343,0.907066,1
TIC 272768631,0.842538,1
EPIC 212223307,0.855834,1
EPIC 205029914,1.089507,1
TIC 316916655,1.085062,1
EPIC 212534729,0.996905,1
EPIC 201182911,0.956437,1
EPIC 246067130,0.935053,1
TIC 1449756,0.852084,1
K2-31,0.991121,1
EPIC 202126887,0.879614,1
EPIC 204308061,1.064206,1
K2-350,0.933364,1
TIC 262457587,0.840811,1
KIC 2307206,0.880685,1
EPIC 211738534,1.127155,1
EPIC 201705526,0.694165,1
TIC 405269313,0.919056,1
TIC 802227190,0.889151,1
TIC 118301361,1.032309,1
TIC 372831381,0.775332,1
KIC 4255422,0.894185,1
EPIC 247744801,0.802971,1
EPIC 206260577,0.879868,1
KIC 8129189,0.982247,1
EPIC 212540985,1.020658,1
K2-99,1.059867,1
TIC 411955845,0.896943,1
EPIC 204529573,1.038980,1
EPIC 204124270,0.928551,1
EPIC 246290342,0.934793,1
EPIC 204312847,1.032122,1
TIC 5592720,0.936622,1
TIC 384244834,1.060696,1
TIC 22452837,0.977539,1
TIC 376866659,0.927567,1
KIC 11959569,1.026197,1
TIC 186989177,0.838201,1
EPIC 202774883,1.028953,1
EPIC 204128016,0.917742,1
EPIC 249418609,1.007121,1
KIC 10909274,1.018764,1
TIC 72123144,1.016013,1
KIC 9246715,0.930330,1
EPIC 212624936,1.070137,1
TIC 177612321,1.072902,1
TIC 104866616,0.842030,1
KIC 4847832,0.977157,1
TIC 2621212,0.945894,1
KIC 7821010,1.013569,1
EPIC 249236972,0.927082,1
TIC 92449173,0.868332,1
HIP 54766,0.940358,1
KIC 7622473,0.946874,1
HIP 61018,1.040791,1
KIC 10748621,0.909797,1
KIC 6877673,0.938089,1
