review_batch,reviewed_at,epic_id,manual_label,manual_label_family,training_eligibility,cnn_score,cnn_interpretation,manual_vs_cnn_status,error_family,candidate_survivor_score,gatevetter_score,primary_depth_snr,odd_even_depth_ratio,oot_to_depth,candidate_period_count,alias_risk,trusted_period_validation,manual_reason,reason_status
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211432946,low_priority_negative,negative,exclude_for_now,0.9650353789329529,very_high_morphology_score,manual_negative_vs_cnn_positive_morphology,cnn_morphology_false_positive_or_overcall,0.702652,0.55,5.160458478200994,0.7266037970356642,0.7827408868485567,15,low,true,"Trusted refreshed period and high CNN morphology score with low alias risk and no clear secondary, but primary SNR is modest, odd/even ratio is borderline-poor at 0.727, OOT variability is high relative to depth at 0.783, and candidate_period_count is very large. Not candidate_like.",complete_user_supplied
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211504682,reject_as_noise_or_artifact,negative,exclude_for_now,0.679133415222168,moderate_high_morphology_score,manual_negative_vs_cnn_positive_morphology,cnn_morphology_false_positive_or_overcall,0.48561,0.48561,1.1184237607935978,0.8303017005320215,0.9181745712292836,20,low,true,"Trusted refreshed period and low alias risk, but the signal is extremely weak with primary_depth_snr=1.12 and primary_depth only 5.56e-05. OOT variability is high relative to depth at 0.918 and candidate_period_count is very large. Odd/even is acceptable but cannot rescue a near-non-detection.",complete_user_supplied
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211518347,low_priority_negative,negative,exclude_for_now,0.9943699240684509,very_high_morphology_score,manual_negative_vs_cnn_positive_morphology,cnn_morphology_false_positive_or_overcall,0.687466,0.55,2.4702777833549527,0.8843183490034259,0.9040543095048562,31,low,true,"Trusted refreshed period, low alias risk, good odd/even ratio, and high CNN morphology score, but the transit evidence is weak. Primary_depth_snr is only 2.47, event support is low at 5, and OOT variability is high relative to depth at 0.904. Secondary metric is not a clean EB detection, but the phase/secondary region is not reassuring. Not candidate_like.",complete_user_supplied
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211592536,reject_as_noise_or_artifact,negative,exclude_for_now,0.5555700063705444,low_to_moderate_morphology_score,manual_negative_with_nonhigh_cnn_score,not_primary_cnn_error,0.290007,0.05,0.5569389400838022,,,22,period_ambiguous,false,"Period is ambiguous and untrusted, duration fraction is too large at 0.201, primary_depth_snr is only 0.56, odd/even and OOT diagnostics are unavailable due to period ambiguity, candidate_period_count is high at 970, and no convincing transit-like signal is visible.",complete_user_supplied
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211707161,uncertain_hold_positive,hold,exclude_for_now,0.6523032188415527,moderate_high_morphology_score,manual_hold_excluded_from_training_for_now,not_error_hold_case,0.680899,0.6,4.53106006882454,0.9207766587063917,0.04866715247641532,16,low,true,"Promising hold. Trusted refreshed period with low alias risk, good odd/even ratio, very low OOT/d",incomplete_user_supplied_truncated
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211781289,reject_as_noise_or_artifact,negative,exclude_for_now,0.7903218865394592,moderate_high_morphology_score,manual_negative_vs_cnn_positive_morphology,cnn_morphology_false_positive_or_overcall,0.595645,0.55,1.1482282817394556,0.8763362156836852,1.1271771233513923,28,moderate,true,"Trusted refreshed period and acceptable odd/even/secondary metrics, but the primary signal is extremely weak with primary_depth_snr=1.15. OOT variability exceeds the transit depth at oot_to_depth=1.13, event support is low, and CNN morphology score is not enough to rescue a near-non-detection.",complete_user_supplied
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211792360,low_priority_negative,negative,exclude_for_now,0.6074951887130737,low_to_moderate_morphology_score,manual_negative_with_nonhigh_cnn_score,not_primary_cnn_error,0.56043,0.55,4.342717542674303,0.9853365206762844,1.0768649099043672,14,low,true,"Trusted refreshed period with excellent odd/even agreement, no measured secondary, low alias risk, and good event-family support. However, primary SNR is only modest, duration is long-ish, candidate_period_count is very high, and OOT variability exceeds the transit depth at oot_to_depth=1.077. Not candidate_like.",complete_user_supplied
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211892055,low_priority_negative,negative,exclude_for_now,0.7108688354492188,moderate_high_morphology_score,manual_negative_vs_cnn_positive_morphology,cnn_morphology_false_positive_or_overcall,0.559891,0.55,1.0576102806333858,0.9236701826746204,0.9200643525329399,19,moderate,true,"Trusted refreshed period with good odd/even agreement and no measured secondary, but the primary signal is extremely weak with primary_depth_snr=1.06. OOT variability is high relative to transit depth at oot_to_depth=0.920, alias risk is moderate, event support is limited, and candidate_period_count remains high. Not candidate_like.",complete_user_supplied
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211894518,low_priority_negative,negative,exclude_for_now,0.8457432389259338,moderate_high_morphology_score,manual_negative_vs_cnn_positive_morphology,cnn_morphology_false_positive_or_overcall,0.580584,0.55,1.8611970513057585,0.8899798338310015,0.5513386323672995,26,moderate,true,"Trusted refreshed period with acceptable odd/even ratio and moderate/high CNN morphology score, but the signal is weak with primary_depth_snr=1.86. OOT variability exceeds 50% of transit depth, duration fraction is high at 0.15 for a short 1.29-day period, and event support is limited. Not candidate_like.",complete_user_supplied
gatevetter_v0_2_batch_next_top_hold_review,2026-06-16,EPIC_211939094,uncertain_hold_period_ambiguous,hold,exclude_for_now,0.9656868577003479,very_high_morphology_score,manual_hold_excluded_from_training_for_now,not_error_hold_case,0.641813,0.6,4.464233087362185,,,13,period_ambiguous,false,"Clear dip-like morphology and high CNN score, with moderate primary SNR and reasonable duration fraction, but period validation is untrusted/ambiguous. Odd/even and OOT diagnostics are unavailable, alias risk is period_ambiguous, and candidate_period_count is high. Do not promote to candidate_like until period is confirmed and odd/even/OOT diagnostics can be trusted.",complete_user_supplied
