pl_name,k2_name,epic_hostname,default_flag,disposition,disp_refname,k2_campaigns,pl_orbper,rowupdate,releasedate
"K2-241 b","K2-241 b","EPIC 201092629",1,"CONFIRMED","Livingston et al. 2018","10",26.81990000000,"2022-03-28","2022-03-28"
"K2-242 b","K2-242 b","EPIC 201102594",1,"CONFIRMED","Livingston et al. 2018","10",6.51389000000,"2022-03-28","2022-03-28"
"K2-156 b","K2-156 b","EPIC 201110617",1,"CONFIRMED","Mayo et al. 2018","10",0.81314300000,"2022-03-28","2022-03-28"
"K2-156 b","K2-156 b","EPIC 201110617",0,"CONFIRMED","Mayo et al. 2018","10",0.81314000000,"2022-03-28","2022-03-28"
"K2-156 b","K2-156 b","EPIC 201110617",0,"CONFIRMED","Mayo et al. 2018","10",0.81314900000,"2018-07-12","2018-02-15"
"EPIC 201111557.01",,"EPIC 201111557",1,"CANDIDATE","Livingston et al. 2018","10",2.30183000000,"2018-08-02","2018-08-02"
"EPIC 201111557.01",,"EPIC 201111557",0,"CANDIDATE","Livingston et al. 2018","10",2.30236800000,"2018-02-15","2018-02-15"
"EPIC 201126503.01",,"EPIC 201126503",1,"CANDIDATE","Vanderburg et al. 2016","1",1.19474880000,"2015-12-05","2015-12-05"
"EPIC 201127519.01",,"EPIC 201127519",1,"CANDIDATE","Livingston et al. 2018","10",6.17887000000,"2018-08-02","2018-08-02"
"EPIC 201127519.01",,"EPIC 201127519",0,"CANDIDATE","Livingston et al. 2018","10",6.17836900000,"2018-02-15","2018-02-15"
"K2-152 b","K2-152 b","EPIC 201128338",1,"CONFIRMED","Hirano et al. 2018","10",32.64790000000,"2022-03-28","2022-03-28"
"K2-152 b","K2-152 b","EPIC 201128338",0,"CONFIRMED","Hirano et al. 2018","10",32.65270000000,"2018-07-12","2018-02-01"
"K2-157 b","K2-157 b","EPIC 201130233",1,"CONFIRMED","Mayo et al. 2018","10",0.36525750000,"2025-05-13","2025-05-13"
"K2-157 b","K2-157 b","EPIC 201130233",0,"CONFIRMED","Mayo et al. 2018","10",0.36525700000,"2018-02-14","2018-02-15"
"K2-157 b","K2-157 b","EPIC 201130233",0,"CONFIRMED","Mayo et al. 2018","10",0.36526100000,"2022-03-28","2022-03-28"
"K2-158 b","K2-158 b","EPIC 201132684",1,"CONFIRMED","Mayo et al. 2018","10",10.06049000000,"2022-03-28","2022-03-28"
"K2-158 b","K2-158 b","EPIC 201132684",0,"CONFIRMED","Mayo et al. 2018","10",10.06210600000,"2018-07-12","2018-02-15"
"K2-158 c","K2-158 c","EPIC 201132684",1,"CONFIRMED","Livingston et al. 2018","10",5.90279000000,"2022-03-28","2022-03-28"
"EPIC 201147085.01",,"EPIC 201147085",1,"CANDIDATE","Kruse et al. 2019","1",1.17589000000,"2019-09-05","2019-09-05"
"EPIC 201152065.01",,"EPIC 201152065",1,"CANDIDATE","Kruse et al. 2019","1",10.69660000000,"2019-09-05","2019-09-05"
"K2-42 b","K2-42 b","EPIC 201155177",1,"CONFIRMED","Crossfield et al. 2016","1",6.68796000000,"2016-07-14","2016-07-18"
"K2-42 b","K2-42 b","EPIC 201155177",0,"CONFIRMED","Crossfield et al. 2016","1",6.68743520000,"2015-12-05","2015-12-05"
"K2-42 b","K2-42 b","EPIC 201155177",0,"CONFIRMED","Crossfield et al. 2016","1",6.68851000000,"2019-09-05","2019-09-05"
"EPIC 201160662.01",,"EPIC 201160662",1,"CANDIDATE","Kruse et al. 2019","1",1.53741150000,"2019-09-05","2019-09-05"
"EPIC 201164625.01",,"EPIC 201164625",1,"CANDIDATE","Livingston et al. 2018","10",2.71189000000,"2018-08-02","2018-08-02"
"EPIC 201166680.01",,"EPIC 201166680",1,"CANDIDATE","Mayo et al. 2018","10",18.10549000000,"2018-02-15","2018-02-15"
"K2-243 b","K2-243 b","EPIC 201166680",1,"CONFIRMED","Livingston et al. 2018","10",11.54182000000,"2022-03-28","2022-03-28"
"K2-243 c","K2-243 c","EPIC 201166680",1,"CONFIRMED","Livingston et al. 2018","10",24.94598000000,"2022-03-28","2022-03-28"
"EPIC 201170410.02","K2-327 b","EPIC 201170410",1,"CONFIRMED","del Ser &amp; Fors 2020","1",6.79870000000,"2020-11-13","2020-11-19"
"EPIC 201176672.01",,"EPIC 201176672",1,"CANDIDATE","Crossfield et al. 2016","1",79.99990000000,"2016-07-18","2016-07-18"
"EPIC 201176672.02",,"EPIC 201176672",1,"CANDIDATE","Kruse et al. 2019","1",,"2019-09-05","2019-09-05"
"EPIC 201180665.01",,"EPIC 201180665",1,"CANDIDATE","Livingston et al. 2018","10",17.77297000000,"2018-08-02","2018-08-02"
"EPIC 201182911.01",,"EPIC 201182911",1,"CANDIDATE","Vanderburg et al. 2016","1",0.99656225000,"2015-12-05","2015-12-05"
"EPIC 201197348.01",,"EPIC 201197348",1,"CANDIDATE","Kruse et al. 2019","1",14.91390000000,"2019-09-05","2019-09-05"
"EPIC 201197348.01",,"EPIC 201197348",0,"CANDIDATE","Kruse et al. 2019","1",14.91238100000,"2015-12-05","2015-12-05"
"K2-43 b","K2-43 b","EPIC 201205469",1,"CONFIRMED","Crossfield et al. 2016","1",3.47114900000,"2019-08-09","2019-08-15"
"K2-43 b","K2-43 b","EPIC 201205469",0,"CONFIRMED","Crossfield et al. 2016","1",3.47128026240,"2024-12-10","2024-12-10"
