review_order,epic_id,conflict_category,current_corrected_physical_class,current_physical_loss_eligible,permitted_adjudication_values,reviewer_decision,reviewer_reason,reviewer,adjudicated_at_utc
1,EPIC_205703094,archive_object_mixed_candidate_false_positive,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
2,EPIC_211424769,internal_eb_variable_vs_archive_candidate,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
3,EPIC_211428897,internal_noise_artifact_vs_archive_candidate,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
4,EPIC_211432167,internal_noise_artifact_vs_archive_false_positive,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
5,EPIC_211432946,internal_noise_artifact_vs_archive_false_positive,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
6,EPIC_211705654,internal_noise_artifact_vs_archive_false_positive,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
7,EPIC_211719484,internal_eb_variable_vs_archive_candidate,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
8,EPIC_211812160,internal_noise_artifact_vs_archive_false_positive,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
9,EPIC_212012387,internal_noise_artifact_vs_archive_false_positive,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
10,EPIC_212020442,internal_noise_artifact_vs_archive_false_positive,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
11,EPIC_212066407,internal_eb_variable_vs_archive_candidate,cross_class_conflict,False,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
