epic_id,catalogue_row_id,object_id,candidate_suffix,k2_name,default_solution,raw_disposition,raw_disposition_reference,evidence_kind,normalized_label_proposal,raw_campaigns,campaigns_json,period_days,period_source,period_provenance,period_trusted,physical_loss_eligible_proposal,eligibility_exclusion_reason,cross_class_conflict,source_version,source_retrieved_at_utc,source_sha256,source_record_locator,source_citation
EPIC_205703094,19440a4d2ec219560b875ce32fd008802fdc8ec79b6fbe03c99ef65d64183752,EPIC 205703094.01,.01,,True,CANDIDATE,Crossfield et al. 2016,archive_candidate,candidate_like,2,"[""2""]",8.1191,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=891;csv_line=892:pl_orbper,False,False,cross_class_conflict,True,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=891;csv_line=892,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_205703094,934ac2453bfae6756d82c7a02ca85b79ae84faf5151ff2806a880dafede19c60,EPIC 205703094.02,.02,,True,CANDIDATE,Crossfield et al. 2016,archive_candidate,candidate_like,2,"[""2""]",16.235,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=892;csv_line=893:pl_orbper,False,False,cross_class_conflict,True,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=892;csv_line=893,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_205703094,9c7e4e2033c7e55a4e2ac5bee2180684721aec465761d5099cba4744ee49a196,EPIC 205703094.03,.03,,True,FALSE POSITIVE,Crossfield et al. 2016,archive_false_positive,false_positive_eb_or_variable,2,"[""2""]",24.9922,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=893;csv_line=894:pl_orbper,False,False,cross_class_conflict,True,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=893;csv_line=894,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_211424769,dd15d5200b9e3844cc8bda35703a1c3aa3aa4f381a35d966c407f7d3f46aede1,EPIC 211424769.01,.01,,True,CANDIDATE,Mayo et al. 2018,archive_candidate,candidate_like,"5, 18","[""5"",""18""]",5.176243,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=1796;csv_line=1797:pl_orbper,False,True,,False,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=1796;csv_line=1797,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_211424769,4879a5046a865df267cfe6252b541008e993e0d81b5c65e656d5d09fcde9ff95,EPIC 211424769.01,.01,,False,CANDIDATE,Mayo et al. 2018,archive_candidate,candidate_like,"5, 18","[""5"",""18""]",5.176,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=1797;csv_line=1798:pl_orbper,False,False,non_default_solution,False,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=1797;csv_line=1798,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_211428897,be98a84e9c8d10cabebe72658a85e8875031b2b9f9b9e9bb25a290cdb0aba67d,EPIC 211428897.01,.01,,True,CANDIDATE,Kruse et al. 2019,archive_candidate,candidate_like,"5, 18","[""5"",""18""]",1.610888,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=1799;csv_line=1800:pl_orbper,False,True,,False,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=1799;csv_line=1800,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_211428897,2cb73013cccf070bfd108561409990fb6592b0df90b23a0dae5f34c96a19fdc7,EPIC 211428897.01,.01,,False,CANDIDATE,Kruse et al. 2019,archive_candidate,candidate_like,"5, 18","[""5"",""18""]",1.61092,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=1801;csv_line=1802:pl_orbper,False,False,non_default_solution,False,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=1801;csv_line=1802,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_211428897,b0cc978d417781f7a7b973363c9814af971a3451e6e1952b04d3afb4c1959f12,EPIC 211428897.01,.01,,False,CANDIDATE,Kruse et al. 2019,archive_candidate,candidate_like,"5, 18","[""5"",""18""]",1.610911,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=1800;csv_line=1801:pl_orbper,False,False,non_default_solution,False,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=1800;csv_line=1801,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_211428897,d486ee7b28e61abd6ff2ef1937581e39906b4297574d709b186c0b76d805e269,EPIC 211428897.01,.01,,False,CANDIDATE,Kruse et al. 2019,archive_candidate,candidate_like,"5, 18","[""5"",""18""]",1.611,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=1802;csv_line=1803:pl_orbper,False,False,non_default_solution,False,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=1802;csv_line=1803,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
EPIC_211428897,96fabbc6ddcd39004c243e05ae26933e9a7727a6fd6bf18aa35ecf17bbb44bff,EPIC 211428897.02,.02,,True,CANDIDATE,Kruse et al. 2019,archive_candidate,candidate_like,"5, 18","[""5"",""18""]",2.178008,k2pandc.pl_orbper,nea_k2pandc:retrieved_2026-08-05:raw/k2pandc.csv#data_row=1803;csv_line=1804:pl_orbper,False,True,,False,retrieved_2026-08-05,2026-08-05T17:08:18.2375669Z,609b8c3eedbc02d8e43783be183ecea62e2074042c872ab10cbdd406d7b2676d,raw/k2pandc.csv#data_row=1803;csv_line=1804,NASA Exoplanet Archive k2pandc; DOI 10.26133/NEA19
