corrected_physical_class,campaign,total_unique_epic_hosts,physical_loss_eligible_hosts,accessible_local_light_curves,accessible_512_sample_tensors,existing_cnn_probabilities,existing_128d_embeddings,nominal_numerical_diagnostics,p_half_p_2p_diagnostics,trusted_periods,fallback_or_missing_periods,cross_class_conflicts,missing_feature_patterns_json
candidate_like,0,43,43,1,0,0,0,0,0,0,43,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":42}"
candidate_like,1,67,67,4,0,0,0,0,0,0,67,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":4,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":63}"
candidate_like,10,31,31,6,0,0,0,0,0,0,31,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":6,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":25}"
candidate_like,11,7,7,1,0,0,0,0,0,0,7,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":6}"
candidate_like,12,28,28,5,0,0,0,0,0,0,28,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":5,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":23}"
candidate_like,13,29,29,5,0,0,0,0,0,0,29,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":5,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":24}"
candidate_like,14,17,17,5,0,0,0,0,0,0,17,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":5,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":12}"
candidate_like,15,29,29,7,0,0,0,0,0,0,29,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":7,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":22}"
candidate_like,16,88,88,36,32,0,0,0,0,0,88,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":4,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":52,""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":32}"
candidate_like,17,61,61,17,0,0,0,0,0,0,61,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":17,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":44}"
candidate_like,18,99,99,87,87,0,0,0,0,0,99,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":12,""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":87}"
candidate_like,2,80,80,12,0,0,0,0,0,0,80,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":12,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":68}"
candidate_like,3,63,63,5,0,0,0,0,0,0,63,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":5,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":58}"
