epic_id,conflict_type,feature,values,sources,resolution
EPIC_211396246,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211425098,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211490307,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211520800,label_alias_difference,target,deprioritize_after_manual_visual_review | low_priority_negative,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211525754,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211530033,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211534076,label_alias_difference,target,candidate_like | recovered_known_unconfirmed_candidate,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211551640,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211554121,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211555255,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211563576,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211569204,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211732801,label_alias_difference,target,binary_system | reject_likely_eclipsing_binary,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211739276,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211813858,label_alias_difference,target,deprioritize_after_manual_visual_review | low_priority_negative,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211816343,label_alias_difference,target,false_positive_eb_or_variable | variable_or_possible_eb,gatevetter_v0_2_deep_review_manual_decisions.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211833851,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211845034,label_alias_difference,target,false_positive_eb_or_variable | variable_or_possible_eb,gatevetter_v0_2_deep_review_manual_decisions.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211878672,label_alias_difference,target,deprioritize_after_manual_visual_review | low_priority_negative,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211887206,label_alias_difference,target,deprioritize_after_manual_visual_review | low_priority_negative,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211889692,label_alias_difference,target,planet_like | recovered_known_confirmed_planet,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211910082,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211947686,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211955365,label_alias_difference,target,deprioritize_after_manual_visual_review | low_priority_negative,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211972200,label_alias_difference,target,binary_system | reject_as_planet_binary_system,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_211972767,label_alias_difference,target,reject_likely_variable_or_binary | variable_or_artifact,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_212001099,label_alias_difference,target,candidate_ready_for_ledger | planet_like,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
EPIC_212003686,label_alias_difference,target,noise_or_artifact | reject_manual_false_positive,plots/k2_batch/final_candidate_master_ledger.csv,preserved_for_traceability_normalized_class_consistent
