feature,normalized_label,rows,missing_count,missing_fraction
validation_period_days,candidate_like,9,0,0.0
validation_period_days,false_positive_eb_or_variable,85,13,0.15294117647058825
validation_period_days,reject_as_noise_or_artifact,174,54,0.3103448275862069
primary_depth,candidate_like,9,0,0.0
primary_depth,false_positive_eb_or_variable,85,13,0.15294117647058825
primary_depth,reject_as_noise_or_artifact,174,54,0.3103448275862069
primary_depth_snr,candidate_like,9,1,0.1111111111111111
primary_depth_snr,false_positive_eb_or_variable,85,14,0.16470588235294117
primary_depth_snr,reject_as_noise_or_artifact,174,54,0.3103448275862069
transit_duration_days,candidate_like,9,0,0.0
transit_duration_days,false_positive_eb_or_variable,85,13,0.15294117647058825
transit_duration_days,reject_as_noise_or_artifact,174,54,0.3103448275862069
transit_duration_hours,candidate_like,9,0,0.0
transit_duration_hours,false_positive_eb_or_variable,85,13,0.15294117647058825
transit_duration_hours,reject_as_noise_or_artifact,174,54,0.3103448275862069
duration_fraction_of_period,candidate_like,9,0,0.0
duration_fraction_of_period,false_positive_eb_or_variable,85,13,0.15294117647058825
duration_fraction_of_period,reject_as_noise_or_artifact,174,54,0.3103448275862069
odd_depth_median,candidate_like,9,0,0.0
odd_depth_median,false_positive_eb_or_variable,85,50,0.5882352941176471
odd_depth_median,reject_as_noise_or_artifact,174,148,0.8505747126436781
even_depth_median,candidate_like,9,0,0.0
even_depth_median,false_positive_eb_or_variable,85,50,0.5882352941176471
even_depth_median,reject_as_noise_or_artifact,174,148,0.8505747126436781
odd_even_depth_ratio,candidate_like,9,0,0.0
odd_even_depth_ratio,false_positive_eb_or_variable,85,50,0.5882352941176471
odd_even_depth_ratio,reject_as_noise_or_artifact,174,148,0.8505747126436781
secondary_depth_phase_05,candidate_like,9,0,0.0
secondary_depth_phase_05,false_positive_eb_or_variable,85,13,0.15294117647058825
secondary_depth_phase_05,reject_as_noise_or_artifact,174,54,0.3103448275862069
secondary_depth_snr,candidate_like,9,1,0.1111111111111111
secondary_depth_snr,false_positive_eb_or_variable,85,16,0.18823529411764706
secondary_depth_snr,reject_as_noise_or_artifact,174,55,0.3160919540229885
secondary_to_primary_depth_ratio,candidate_like,9,4,0.4444444444444444
secondary_to_primary_depth_ratio,false_positive_eb_or_variable,85,14,0.16470588235294117
secondary_to_primary_depth_ratio,reject_as_noise_or_artifact,174,55,0.3160919540229885
oot_to_depth,candidate_like,9,4,0.4444444444444444
oot_to_depth,false_positive_eb_or_variable,85,50,0.5882352941176471
oot_to_depth,reject_as_noise_or_artifact,174,148,0.8505747126436781
event_family_count,candidate_like,9,0,0.0
event_family_count,false_positive_eb_or_variable,85,13,0.15294117647058825
event_family_count,reject_as_noise_or_artifact,174,54,0.3103448275862069
candidate_period_count,candidate_like,9,9,1.0
candidate_period_count,false_positive_eb_or_variable,85,13,0.15294117647058825
candidate_period_count,reject_as_noise_or_artifact,174,54,0.3103448275862069
alias_best_support_count,candidate_like,9,9,1.0
alias_best_support_count,false_positive_eb_or_variable,85,13,0.15294117647058825
alias_best_support_count,reject_as_noise_or_artifact,174,54,0.3103448275862069
alias_best_support_ratio,candidate_like,9,9,1.0
alias_best_support_ratio,false_positive_eb_or_variable,85,13,0.15294117647058825
alias_best_support_ratio,reject_as_noise_or_artifact,174,54,0.3103448275862069
half_period_support_count,candidate_like,9,9,1.0
half_period_support_count,false_positive_eb_or_variable,85,13,0.15294117647058825
half_period_support_count,reject_as_noise_or_artifact,174,54,0.3103448275862069
double_period_support_count,candidate_like,9,9,1.0
double_period_support_count,false_positive_eb_or_variable,85,13,0.15294117647058825
double_period_support_count,reject_as_noise_or_artifact,174,54,0.3103448275862069
p_half_period_days,candidate_like,9,0,0.0
p_half_period_days,false_positive_eb_or_variable,85,85,1.0
p_half_period_days,reject_as_noise_or_artifact,174,174,1.0
p_half_cluster_center_phase,candidate_like,9,0,0.0
p_half_cluster_center_phase,false_positive_eb_or_variable,85,85,1.0
p_half_cluster_center_phase,reject_as_noise_or_artifact,174,174,1.0
p_half_event_support_count,candidate_like,9,0,0.0
p_half_event_support_count,false_positive_eb_or_variable,85,85,1.0
p_half_event_support_count,reject_as_noise_or_artifact,174,174,1.0
p_half_event_family_count,candidate_like,9,0,0.0
p_half_event_family_count,false_positive_eb_or_variable,85,85,1.0
p_half_event_family_count,reject_as_noise_or_artifact,174,174,1.0
p_half_primary_depth,candidate_like,9,0,0.0
p_half_primary_depth,false_positive_eb_or_variable,85,85,1.0
p_half_primary_depth,reject_as_noise_or_artifact,174,174,1.0
p_half_primary_depth_snr,candidate_like,9,2,0.2222222222222222
p_half_primary_depth_snr,false_positive_eb_or_variable,85,85,1.0
p_half_primary_depth_snr,reject_as_noise_or_artifact,174,174,1.0
p_half_duration_days,candidate_like,9,0,0.0
p_half_duration_days,false_positive_eb_or_variable,85,85,1.0
p_half_duration_days,reject_as_noise_or_artifact,174,174,1.0
p_half_odd_depth_median,candidate_like,9,8,0.8888888888888888
p_half_odd_depth_median,false_positive_eb_or_variable,85,85,1.0
p_half_odd_depth_median,reject_as_noise_or_artifact,174,174,1.0
p_half_even_depth_median,candidate_like,9,8,0.8888888888888888
p_half_even_depth_median,false_positive_eb_or_variable,85,85,1.0
p_half_even_depth_median,reject_as_noise_or_artifact,174,174,1.0
p_half_odd_even_depth_ratio,candidate_like,9,8,0.8888888888888888
p_half_odd_even_depth_ratio,false_positive_eb_or_variable,85,85,1.0
p_half_odd_even_depth_ratio,reject_as_noise_or_artifact,174,174,1.0
p_half_oot_to_depth,candidate_like,9,5,0.5555555555555556
p_half_oot_to_depth,false_positive_eb_or_variable,85,85,1.0
p_half_oot_to_depth,reject_as_noise_or_artifact,174,174,1.0
p_half_secondary_depth,candidate_like,9,0,0.0
p_half_secondary_depth,false_positive_eb_or_variable,85,85,1.0
p_half_secondary_depth,reject_as_noise_or_artifact,174,174,1.0
p_half_secondary_depth_snr,candidate_like,9,1,0.1111111111111111
p_half_secondary_depth_snr,false_positive_eb_or_variable,85,85,1.0
p_half_secondary_depth_snr,reject_as_noise_or_artifact,174,174,1.0
