"group_field","group_value","count"
"source_batch","stage_f_next10_batch1","10"
"source_batch","stage_f_next10_batch2_manual_review","10"
"source_batch","stage_f_hybrid_v2_reviewed","9"
"source_batch","positive_controls","2"
"source_batch","stage_f_v3_recovery_batch1_manual_review","1"
"review_bin","manual_false_positive_visual_review","7"
"review_bin","manual_false_positive_stage_f_review","7"
"review_bin","deprioritized_after_manual_visual_review","5"
"review_bin","secondary_hold","3"
"review_bin","promoted_keep_reviewing","3"
"review_bin","recovered_positive_control","2"
"review_bin","manual_false_positive_noise_or_variability","1"
"review_bin","likely_variable_or_binary_reject","1"
"review_bin","likely_eclipsing_binary_reject","1"
"review_bin","real_nonplanet_eclipsing_binary","1"
"review_bin","low_priority_candidate_hold","1"
"final_candidate_status","reject_manual_false_positive","15"
"final_candidate_status","deprioritize_after_manual_visual_review","5"
"final_candidate_status","secondary_hold","3"
"final_candidate_status","promote_candidate_alias_check","2"
"final_candidate_status","reject_likely_eclipsing_binary","1"
"final_candidate_status","reject_likely_variable_or_binary","1"
"final_candidate_status","promote_primary_candidate","1"
"final_candidate_status","hold_low_priority_candidate","1"
"final_candidate_status","recovered_known_confirmed_planet","1"
"final_candidate_status","recovered_known_unconfirmed_candidate","1"
"final_candidate_status","reject_as_planet_binary_system","1"
"final_recommendation","<blank>","10"
"final_recommendation","reject_manual_false_positive","7"
"final_recommendation","deprioritize_after_manual_visual_review","5"
"final_recommendation","keep_reviewing","3"
"final_recommendation","secondary_hold","3"
"final_recommendation","reject_likely_variable_or_binary","1"
"final_recommendation","reject_likely_eclipsing_binary","1"
"final_recommendation","K2-108 b benchmark","1"
"final_recommendation","top_followup_candidate","1"
