hybrid_v3_rank,hybrid_rank,epic_id,candidate_score,needs_stage_f_validation,hybrid_v2_policy_note,flux_p_science_like,flux_recall_filter_pass,stage_d_quality_score,stage_f_quality_score,stage_f_available,false_positive_penalty,manual_label_penalty,stage_d_label,stage_f_conservative_label,best_period_days,period_support_count,event_family_count,folded_depth_consistency,duration_consistency,odd_even_depth_delta,primary_depth_snr,secondary_to_primary_depth_ratio,odd_even_depth_delta_explicit,oot_variability_to_depth,alias_best_support_ratio,stage_f_odd_even_penalty,stage_f_secondary_penalty,stage_f_oot_penalty,stage_f_alias_penalty,flux_num_segments,flux_p_top3_mean,flux_p_top10_mean,flux_best_segment_start,flux_best_segment_end,flux_best_segment_mid_time,events_csv,stage_f_source_csv,promote_tier,n_events_long_good,n_events_ge_10_cadences,max_shape_score,spike_fraction_2cadence,depth_ratio,stage_r_reason,events_csv_available,n_events_raw,n_events_after_filters,period_search_reason,cluster_center_phase,n_predicted,n_covered,coverage_rate,hit_rate_snr,hit_rate_shape,soft_hit_rate,cache_hits,cache_misses,downloads_done,validations_run,stage_d_reason,stage_f_best_quality_score,stage_f_rows,secondary_depth_snr,stage_f_quality_score_raw,stage_d_positive_score,stage_d_spike_clean,stage_d_odd_even_clean,stage_d_odd_even_penalty,training_label_v3,science_binary_v3,stage_f_label,primary_depth_snr_stage_f_hybrid_v2,secondary_to_primary_depth_ratio_stage_f_hybrid_v2,secondary_depth_snr_stage_f_hybrid_v2,odd_even_depth_delta_explicit_stage_f_hybrid_v2,oot_variability_to_depth_stage_f_hybrid_v2,alias_best_support_ratio_stage_f_hybrid_v2,stage_f_quality_score_override,stage_f_odd_even_penalty_override,stage_f_secondary_penalty_override,stage_f_oot_penalty_override,stage_f_alias_penalty_override,is_labeled_v3,is_unresolved_v3,is_tuning_row_v3,actual_science_like_v3,v3_base_score,hybrid_score_v3,hybrid_v3_false_positive_penalty,hybrid_v3_candidate_pass
1,2,EPIC_211842439,0.659985382035486,False,,0.6608452796936035,True,0.8098610962637469,0.9833717110284048,True,0.1307911178687547,0.45,pass_deeper_eval,stage_f_planet_like,15.93678195803659,14,4,0.9125872976904168,1.0,0.0415707224289881,66.69039912441387,0.0,0.0415707224289881,0.0,0.2857142857142857,0.0831414448579762,0.0,0.0,0.0,13,0.6238475441932678,0.5897171914577484,512,1024,2322.353490794452,plots\k2_batch\epics\EPIC_211842439\events.csv,k2_stage_f_next10_validation.csv,Tier_A,10,17,0.8675257382753601,0.0769230769230769,180.52044020517712,promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.077,True,26,26,validated,0.0600324466810164,5,5,1.0,0.8,0.6,0.8,1,0,0,3,period_support_count=14; depth_consistency=0.913; duration_consistency=1.000; validated cache-light-curve support,0.9833717110284048,1.0,,0.9833717110284048,0.8013707879038836,0.7802197802197803,0.916858555142024,0.0831414448579762,uncertain_hold,not_science_like,,,,,,,,,,,,,True,False,False,False,0.6796040497157991,0.6671328329871027,0.01247121672869643,True
2,1,EPIC_212001099,0.6669978852796252,False,,0.8128641843795776,True,0.6962114784793515,0.8760970094751621,True,0.070544674945702,0.0,pass_deeper_eval,stage_f_planet_like,16.325087564604473,13,5,0.9872136877524216,0.75,0.058047152180234,8.914151086678777,0.0,0.1045146379888401,0.2728692692290266,0.3076923076923077,0.2090292759776802,0.0,0.1364346346145133,0.0,427,0.7879082560539246,0.7649751782417298,45824,46336,2338.0451522270705,plots\k2_batch\epics\EPIC_212001099\events.csv,k2_stage_f_next10_batch2_validation.csv,Tier_A,8,19,0.8263117277737821,0.1071428571428571,13.907826780338732,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.107,True,28,28,validated,0.8343166464806598,5,5,1.0,0.4,0.2,0.4,1,0,0,3,period_support_count=13; depth_consistency=0.987; duration_consistency=0.750; validated cache-light-curve support,0.8760970094751621,1.0,0.0,0.8760970094751621,0.6758670564389718,0.6938775510204083,0.883905695639532,0.116094304360468,planet_like,science_like,,,,,,,,,,,,,True,False,True,True,0.6775795865214805,0.6325817316633772,0.044997854858103356,True
3,3,EPIC_211534076,0.6235910447402204,False,,0.6541130542755127,True,0.7226062005650227,0.9186451273445112,True,0.104409041557283,0.05,pass_deeper_eval,stage_f_planet_like,15.221580048255191,16,5,0.8115918451248266,0.9565217391304348,0.1429201407325919,72.47101116423728,0.0,0.1429201407325919,0.3224908848326961,0.3125,0.2858402814651838,0.0,0.161245442416348,0.0,13,0.575658897558848,0.491503894329071,2816,3328,2369.4901159095134,plots\k2_batch\epics\EPIC_211534076\events.csv,k2_stage_f_followup_validation.csv,Tier_A,13,20,0.855307609270227,0.2631578947368421,27.17586940955213,promote: 13 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.263,True,38,38,validated,0.0795826853131468,4,4,1.0,0.5,0.5,0.5,1,0,0,3,period_support_count=16; depth_consistency=0.812; duration_consistency=0.957; validated cache-light-curve support,0.9186451273445112,1.0,0.0,0.9186451273445112,0.7756109741819757,0.2481203007518797,0.7141597185348162,0.2858402814651838,candidate_like,science_like,,,,,,,,,,,,,True,False,True,True,0.6392524009738129,0.5802518145124005,0.05900058646141237,True
4,20,EPIC_211396246,0.4617340867864225,True,high_flux_or_stage_d_but_missing_stage_f; validate_before_discovery_ranking,0.6674925088882446,True,0.6774223476782854,0.8369467945824071,False,0.0249591882935626,0.0,pass_deeper_eval,,5.0670921209678,8,6,0.8319569702913201,0.9523809523809524,0.0567254279399151,,,,,,0.1134508558798302,0.0,0.0047899859787796,0.55,13,0.6661770542462667,0.6107338428497314,1024,1536,2332.814500321154,plots\k2_batch\epics\EPIC_211396246\events.csv,,Tier_A,6,15,0.8013982456171866,0.2083333333333333,21.73483396404102,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.208,True,24,24,validated,0.9107876341557408,15,15,1.0,0.6666666666666666,0.2,0.6666666666666666,1,0,0,3,period_support_count=8; depth_consistency=0.832; duration_consistency=0.952; validated cache-light-curve support,,,,,0.6843955527791447,0.4047619047619049,0.8865491441201698,0.1134508558798302,noise_or_artifact,not_science_like,stage_f_hold,8.852455333808562,0.0,,0.0567254279399151,0.0095799719575592,0.625,0.8369467945824071,0.1134508558798302,0.0,0.0047899859787796,0.55,True,False,True,False,0.6122146636760587,0.5672180366962062,0.04499662697985249,False
5,19,EPIC_211530033,0.4715107233391129,True,high_flux_or_stage_d_but_missing_stage_f; validate_before_discovery_ranking,0.6364273428916931,True,0.7969143077790355,0.8376791346663713,False,0.0864494907849233,0.0,pass_deeper_eval,,15.50762230141845,10,6,0.9093175626572692,0.9361702127659576,0.1964761154202804,,,,,,0.1589125482003332,0.0,0.0842688354902597,0.5,13,0.6301928957303365,0.603012990951538,1024,1536,2332.8141939560155,plots\k2_batch\epics\EPIC_211530033\events.csv,,Tier_A,11,16,0.808978002365144,0.1153846153846153,24.42796091623582,promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.115,True,26,26,validated,0.9839624505851532,5,5,1.0,1.0,0.6,1.0,1,0,0,3,period_support_count=10; depth_consistency=0.909; duration_consistency=0.936; validated cache-light-curve support,,,,,0.831646753932946,0.6703296703296706,0.6070477691594391,0.3929522308405608,noise_or_artifact,not_science_like,stage_f_hold,11.081328351859684,0.0,,0.0794562741001666,0.1685376709805194,0.6,0.8376791346663713,0.1589125482003332,0.0,0.0842688354902597,0.5,True,False,True,False,0.6313979306234443,0.5390282124483342,0.09236971817511008,False
6,4,EPIC_211988531,0.5739972618095102,False,,0.6275991201400757,True,0.7016836847032856,0.873690739044726,True,0.2633735745101283,0.45,pass_deeper_eval,stage_f_planet_like,14.496263978912111,13,5,0.7404849623190014,0.9583333333333334,0.1847461582127066,57.84921430856959,0.0,0.1847461582127066,0.401374738166655,0.4615384615384615,0.3694923164254132,0.0,0.2006873690833275,0.223076923076923,13,0.6090643803278605,0.5480101257562637,0,512,2311.8310897774136,plots\k2_batch\epics\EPIC_211988531\events.csv,k2_stage_f_next10_batch2_validation.csv,Tier_A,4,10,0.7812440376860006,0.2272727272727272,30.9298795450156,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.227,True,22,22,validated,0.65772061454775,5,5,1.0,1.0,0.6,1.0,1,0,0,3,period_support_count=13; depth_consistency=0.740; duration_consistency=0.958; validated cache-light-curve support,0.873690739044726,1.0,,0.873690739044726,0.748023843442843,0.3506493506493507,0.6305076835745869,0.3694923164254132,uncertain_hold,not_science_like,,,,,,,,,,,,,True,False,False,False,0.6135032979860294,0.5268568674600386,0.08664643052599089,False
7,5,EPIC_211972200,0.5719502515377711,False,,0.6598517894744873,True,0.7688464015477825,0.83996173590777,True,0.4079993942812503,0.9,pass_deeper_eval,stage_f_planet_like,18.91986675386579,19,4,0.9698031883868607,1.0,0.2261630657356436,851.7955448069436,0.0,0.2261630657356436,0.9276405039729682,0.3157894736842105,0.4523261314712872,0.0,0.4638202519864841,0.0,13,0.6193408767382304,0.5453507363796234,0,512,2311.830714746153,plots\k2_batch\epics\EPIC_211972200\events.csv,k2_stage_f_next10_validation.csv,Tier_A,4,19,0.8331570239017195,0.04,13.945690757095244,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.040,True,25,25,validated,0.1628365303483095,4,4,1.0,0.75,0.5,0.75,1,0,0,3,period_support_count=19; depth_consistency=0.970; duration_consistency=1.000; validated cache-light-curve support,0.83996173590777,1.0,,0.83996173590777,0.7802944727633082,0.8857142857142857,0.5476738685287128,0.4523261314712872,binary_system,not_science_like,,,,,,,,,,,,,True,False,True,False,0.6331501606799587,0.5189192157606172,0.11423094491934149,False
8,10,EPIC_211525754,0.5489361405058731,False,,0.6139881610870361,True,0.7190406398678482,0.8637704404155293,True,0.4110832396362259,1.0,pass_deeper_eval,stage_f_planet_like,13.198848621046864,14,6,0.9184157767190644,0.9583333333333334,0.1776629394856127,65.85013986042081,0.0,0.1776629394856127,0.6593346410125313,0.4285714285714285,0.3553258789712254,0.0,0.3296673205062656,0.157142857142857,13,0.5995702544848124,0.5489794880151748,0,512,2311.831700581832,plots\k2_batch\epics\EPIC_211525754\events.csv,k2_stage_f_next10_validation.csv,Tier_A,7,14,0.8065152288077873,0.217391304347826,9.37481331028957,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.217,True,23,23,validated,0.9339929562413662,5,5,1.0,0.8,0.4,0.8,1,0,0,3,period_support_count=14; depth_consistency=0.918; duration_consistency=0.958; validated cache-light-curve support,0.8637704404155293,1.0,,0.8637704404155293,0.7645373049917938,0.37888198757764,0.6446741210287745,0.3553258789712254,noise_or_artifact,not_science_like,,,,,,,,,,,,,True,False,True,False,0.610598626451307,0.5164758696978538,0.09412275675345323,False
9,8,EPIC_211490307,0.557722848677971,False,,0.7290341258049011,True,0.6888812084802352,0.8190975506496548,True,0.4962252342414458,1.0,pass_deeper_eval,stage_f_planet_like,12.80064960272307,18,6,0.8415847679803974,0.6136363636363635,0.3764688669443513,18.355230915068795,0.0,0.2794457748987067,0.5805066605844216,0.4444444444444444,0.5588915497974134,0.0,0.2902533302922108,0.1888888888888888,13,0.6968155900637308,0.6275667309761047,768,1280,2327.584675439608,plots\k2_batch\epics\EPIC_211490307\events.csv,k2_stage_f_next10_validation.csv,Tier_A,11,16,0.8194936608105479,0.1935483870967742,29.87992459434132,promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.194,True,31,31,validated,0.0422547489885349,6,6,1.0,0.6666666666666666,0.5,0.6666666666666666,1,0,0,3,period_support_count=18; depth_consistency=0.842; duration_consistency=0.614; validated cache-light-curve support,0.8190975506496548,1.0,,0.8190975506496548,0.7639209631508227,0.4470046082949308,0.2470622661112974,0.7529377338887026,noise_or_artifact,not_science_like,,,,,,,,,,,,,True,False,True,False,0.6321566338141879,0.48074619625721693,0.1514104375569709,False
10,11,EPIC_211748059,0.543983233934877,False,,0.6816136837005615,True,0.6643256216823236,0.7375186919144469,True,0.3002842250634144,0.45,pass_deeper_eval,stage_f_planet_like,17.42822978276672,14,6,0.893396425832578,0.8095238095238095,0.1833255114427235,5.253299547045389,0.0,0.3134464055801121,0.2921819781859618,0.4285714285714285,0.6268928111602242,0.0,0.1460909890929809,0.157142857142857,13,0.6523628433545431,0.5710595220327377,512,1024,2322.3535044738346,plots\k2_batch\epics\EPIC_211748059\events.csv,k2_stage_f_next10_batch2_validation.csv,Tier_A,5,17,0.8169694594065053,0.1666666666666666,9.142281919119538,promote: 5 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.167,True,30,30,validated,0.0419724861924733,4,4,1.0,0.5,0.25,0.5,1,0,0,3,period_support_count=14; depth_consistency=0.893; duration_consistency=0.810; validated cache-light-curve support,0.7375186919144469,1.0,0.0,0.7375186919144469,0.6831479958526301,0.523809523809524,0.6333489771145531,0.366651022885447,uncertain_hold,not_science_like,,,,,,,,,,,,,True,False,False,False,0.5890258676943891,0.47252570425391455,0.11650016344047458,False
