batch_order,epic_id,hybrid_v3_rank,strict_rank,hybrid_v3_strict_score,v3_base_score,hybrid_v3_strict_fp_penalty,flux_p_science_like,stage_d_quality_score,stage_d_label,best_period_days,stage_e_visual_label,stage_f_label,stage_f_reason,primary_depth,primary_depth_snr,transit_duration_hours,radius_ratio_sqrt_depth,secondary_depth_phase_05,secondary_depth_snr,secondary_to_primary_depth_ratio,odd_even_depth_ratio,odd_even_depth_delta_explicit,oot_variability_to_depth,alias_best_period_days,alias_best_support_count,alias_best_support_ratio,alias_risk,phase_0_folded_path,phase_05_secondary_check_path,alias_period_comparison_path,odd_even_zoom_path,validation_summary_json_path,events_csv,stage_d_reason,manual_review_label,manual_review_status,visual_notes,reviewer,reviewed_at,source_review_csv,period_support_count,manual_stage_f_label,manual_science_binary,manual_reason
1,EPIC_211404127,34,34,0.2832642440509245,0.4332642440509245,0.15,0.626497745513916,0.605960132484216,hold_deeper_eval,18.613248512338032,visual_planet_like_candidate,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",0.0052505751040976,277.8083974684973,10.787971608981024,0.0724608522175774,0.0,,0.0,0.7486876668857594,0.2513123331142406,1.1198356910129672,9.306624256169016,8,0.4444444444444444,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\validation_summary.json,plots\k2_batch\epics\EPIC_211404127\events.csv,"finite period with support=18, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote_to_deeper_eval,science_like,strong deep primary; high SNR; acceptable odd/even; no phase-0.5 secondary; strong event support; caveat high OOT and P/2 alias support,OC,2026-05-04,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,,promote_to_deeper_eval,science_like,strong deep primary; high SNR; acceptable odd/even; no phase-0.5 secondary; strong event support; caveat high OOT and P/2 alias support
2,EPIC_211759361,35,35,0.2797442901404274,0.4297442901404274,0.15,0.7104972004890442,0.4742810798770479,hold_deeper_eval,14.608622348492643,visual_planet_like_candidate,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",0.0016833285036146,6.507888528717384,6.865061354736099,0.0410283865587558,0.0,,0.0,0.8686167927855022,0.1313832072144977,0.7375517719066977,9.739081565661762,6,0.6666666666666666,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\validation_summary.json,plots\k2_batch\epics\EPIC_211759361\events.csv,"finite period with support=9, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote_to_deeper_eval,science_like,"good odd/even agreement, no phase-0.5 secondary, visible coherent primary, adequate event support; caveat moderate SNR, high OOT variability, and 2P/3 alias support",OC,2026-05-04,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,,promote_to_deeper_eval,science_like,"good odd/even agreement, no phase-0.5 secondary, visible coherent primary, adequate event support; caveat moderate SNR, high OOT variability, and 2P/3 alias support"
3,EPIC_211598703,36,36,0.275816648039786,0.425816648039786,0.15,0.7037513256072998,0.4680147363089244,hold_deeper_eval,16.16143666474818,visual_planet_like_candidate,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.045 alias_risk=low oot_to_depth=0.337,0.0002519367520141,5.259684093171436,0.4903615666553376,0.015872515617069,0.0,,0.0,0.0451293037557151,1.5004617950491372,0.3366631825314785,8.08071833237409,5,0.5,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\validation_summary.json,plots\k2_batch\epics\EPIC_211598703\events.csv,"finite period with support=10, but deeper-eval guardrails are incomplete or marginal; reason=validated",reject_as_noise_or_artifact,not_science_like,catastrophic odd/even mismatch; weak primary SNR; suspicious short duration; noisy folded morphology; alias ambiguity,OC,2026-05-04,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,,reject_as_noise_or_artifact,not_science_like,catastrophic odd/even mismatch; weak primary SNR; suspicious short duration; noisy folded morphology; alias ambiguity
4,EPIC_211746706,38,38,0.2659068502075109,0.4159068502075109,0.15,0.6493770480155945,0.5044995336082114,hold_deeper_eval,17.959520721076842,visual_planet_like_candidate,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.448 alias_risk=low oot_to_depth=0.672,0.0012955822578792,37.195240136860285,10.29762384732021,0.035994197558485,0.0,0.0,0.0,0.4475693268862598,0.8552822328739973,0.6716765468606253,8.979760360538421,5,0.3571428571428571,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\validation_summary.json,plots\k2_batch\epics\EPIC_211746706\events.csv,"finite period with support=14, but deeper-eval guardrails are incomplete or marginal; reason=validated",reject_as_noise_or_artifact,not_science_like,odd/even depth mismatch; high OOT variability; noisy folded morphology; alias ambiguity,OC,2026-05-04,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,,reject_as_noise_or_artifact,not_science_like,odd/even depth mismatch; high OOT variability; noisy folded morphology; alias ambiguity
5,EPIC_211537297,39,39,0.2616798477323171,0.4116798477323171,0.15,0.6927534937858582,0.4268644996290671,hold_deeper_eval,18.75653827464748,visual_planet_like_candidate,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",0.0002191509851032,7.963901996559208,0.9807244686526236,0.0148037490218947,0.0,0.0,0.0,0.7226019847225302,0.2773980152774698,0.1045819110630525,12.504358849764984,5,0.4545454545454545,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\validation_summary.json,plots\k2_batch\epics\EPIC_211537297\events.csv,"finite period with support=11, but deeper-eval guardrails are incomplete or marginal; reason=validated",hold_deeper_eval,unresolved,acceptable odd/even; no secondary; low OOT variability; modest depth/SNR; non-unique alias support,OC,2026-05-04,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,,hold_deeper_eval,unresolved,acceptable odd/even; no secondary; low OOT variability; modest depth/SNR; non-unique alias support
1,EPIC_211423229,40,40,0.2586967659273577,0.4086967659273577,0.15,0.6713709831237793,0.4448676873361398,hold_deeper_eval,12.54515116427524,visual_planet_like_candidate,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.250 alias_risk=low oot_to_depth=0.293,0.0001218926098643,6.393875815797603,0.980734828684944,0.0110404986238982,0.0,,0.0,0.2504809578313314,1.1987692215138328,0.2933782612111056,6.27257558213762,4,0.5714285714285714,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\validation_summary.json,plots\k2_batch\epics\EPIC_211423229\events.csv,"finite period with support=7, but deeper-eval guardrails are incomplete or marginal; reason=validated",reject_as_noise_or_artifact,not_science_like,poor odd/even agreement; weak tiny primary; irregular non-transit morphology; weak/non-dominant alias support; low event-family support,OC,2026-05-04,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,7.0,reject_as_noise_or_artifact,not_science_like,poor odd/even agreement; weak tiny primary; irregular non-transit morphology; weak/non-dominant alias support; low event-family support
2,EPIC_211791780,41,41,0.2545998349739302,0.3821700574423942,0.1275702224684639,0.5116586685180664,0.562358093844284,pass_deeper_eval,18.00028949379339,visual_planet_like_candidate,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",0.0004389492836477,7.529461051449969,2.9421580567723127,0.0209511165250852,0.0,0.0,0.0,0.5835660837965363,0.7136019857327004,2.0403472601701007,9.000144746896694,6,0.6,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\validation_summary.json,plots\k2_batch\epics\EPIC_211791780\events.csv,period_support_count=10; depth_consistency=0.675; duration_consistency=0.667; validated cache-light-curve support,hold_deeper_eval,unresolved,unclear primary transit; shallow depth/moderate SNR; high OOT variability; borderline odd/even agreement; P/P2 alias ambiguity; noisy folded morphology,OC,2026-05-04,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,10.0,hold_deeper_eval,unresolved,unclear primary transit; shallow depth/moderate SNR; high OOT variability; borderline odd/even agreement; P/P2 alias ambiguity; noisy folded morphology
3,EPIC_211562803,42,42,0.25280893718058,0.4028089371805801,0.15,0.5512091517448425,0.5895429362795407,pass_deeper_eval,12.40209570488514,visual_planet_like_candidate,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",0.0005117663115537,11.564195248405994,2.696982187597313,0.022622252574705,0.0,0.0,0.0,0.5564721115401459,0.5533490596372796,0.2352035596917707,6.20104785244257,5,0.4545454545454545,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\validation_summary.json,plots\k2_batch\epics\EPIC_211562803\events.csv,period_support_count=11; depth_consistency=0.746; duration_consistency=0.800; validated cache-light-curve support,hold_deeper_eval,unresolved,shallow/visually weak primary; only moderate SNR; borderline odd/even agreement; non-dominant alias support; messy low-amplitude folded morphology,OC,2026-05-04,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,11.0,hold_deeper_eval,unresolved,shallow/visually weak primary; only moderate SNR; borderline odd/even agreement; non-dominant alias support; messy low-amplitude folded morphology
4,EPIC_211821200,43,43,0.2526784613311064,0.4026784613311064,0.15,0.5946117639541626,0.528257375788598,hold_deeper_eval,16.794808524282416,visual_planet_like_candidate,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.480 alias_risk=low oot_to_depth=0.539,0.0008956840615978,9.857046989674176,6.374688214680644,0.0299279812482866,1.6679643720152182e-05,0.2049088688412282,0.0186222401796427,0.4796289774185671,0.5870364257594799,0.5389441316374136,8.397404262141208,5,0.4545454545454545,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\validation_summary.json,plots\k2_batch\epics\EPIC_211821200\events.csv,"finite period with support=11, but deeper-eval guardrails are incomplete or marginal; reason=validated",hold_deeper_eval,unresolved,not visually convincing; borderline odd/even agreement; moderate OOT variability; non-dominant alias support; folded morphology not clean enough for promotion,OC,2026-05-04,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,11.0,hold_deeper_eval,unresolved,not visually convincing; borderline odd/even agreement; moderate OOT variability; non-dominant alias support; folded morphology not clean enough for promotion
5,EPIC_211631955,44,44,0.2504381612945168,0.4004381612945168,0.15,0.6326863169670105,0.4659918014242526,hold_deeper_eval,17.15240334661553,visual_planet_like_candidate,stage_f_reject,primary transit depth is not significant in cached folded light curve,0.0003260733477654,4.331223895494613,4.4132383756223135,0.0180575011495334,0.0,0.0,0.0,0.3340564084311055,0.9983739628402464,2.1961981499037355,8.576201673307764,4,0.2666666666666666,low,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\phase_0_folded.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\phase_05_secondary_check.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\alias_period_comparison.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\odd_even_zoom.png,C:\Projects\AstroSeq\AstroSeq\plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\validation_summary.json,plots\k2_batch\epics\EPIC_211631955\events.csv,"finite period with support=15, but deeper-eval guardrails are incomplete or marginal; reason=validated",hold_deeper_eval,unresolved,unclear primary transit; weak depth/SNR; poor odd/even agreement; high OOT variability; non-dominant alias support; noisy folded morphology,OC,2026-05-04,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,15.0,hold_deeper_eval,unresolved,unclear primary transit; weak depth/SNR; poor odd/even agreement; high OOT variability; non-dominant alias support; noisy folded morphology
