count_type,label,count
manual_label_family,hold,16
manual_label_family,negative,44
manual_label_family,positive,4
manual_label,binary_system,8
manual_label,candidate_like,4
manual_label,low_priority_negative,4
manual_label,noise_or_artifact,14
manual_label,reject_as_noise_or_artifact,16
manual_label,uncertain_hold,15
manual_label,uncertain_hold_positive,1
manual_label,variable_or_possible_eb,2
training_use,false,16
training_use,true,48
training_class,candidate_like_positive,4
training_class,excluded_uncertain_hold,15
training_class,excluded_uncertain_hold_positive,1
training_class,false_positive_eb_or_variable,10
training_class,negative_low_priority,4
training_class,negative_noise_or_artifact,14
training_class,negative_reject_as_noise_or_artifact,16
