Manual 64 model disagreement / failure-mode report
generated_at=2026-06-01T20:10:43
source=manual_64_training_view.csv

columns=epic_id, manual_label, cnn_score, primary_depth_snr, odd_even_depth_ratio, oot_to_depth, candidate_period_count, alias_risk, fallback_period_flag, duration_fraction_of_period, failure_mode, autovet_v2_penalty

A. CNN high-confidence false positives
count=15
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211493634 | noise_or_artifact | 0.890358 | 786.546 | 0.789 |  | 0 | moderate | true |  | cnn_high_confidence_false_positive | 0.06
EPIC_211529191 | noise_or_artifact | 0.922508 | 24.6501 |  |  | 0 |  | true |  | cnn_high_confidence_false_positive | 0.06
EPIC_211542908 | binary_system | 0.934167 | 18.8839 | 0.391 |  | 0 | moderate | true |  | cnn_high_confidence_false_positive | 0.06
EPIC_211549072 | noise_or_artifact | 0.990776 | 86.2838 | 0.472 |  | 0 | review | true | 0.272569 | cnn_high_confidence_false_positive | 0.06
EPIC_211581700 | binary_system | 0.97592 | 6.5352 |  |  | 0 |  | true |  | cnn_high_confidence_false_positive | 0.2
EPIC_211586814 | binary_system | 0.891465 | 43.4636 | 0.538 |  | 0 | pass | true | 0.304233 | cnn_high_confidence_false_positive | 0.2
EPIC_211702989 | noise_or_artifact | 0.94507 | 32.5314 | 0.4 |  | 0 | moderate | true |  | cnn_high_confidence_false_positive | 0.06
EPIC_211730838 | binary_system | 0.989619 | 11.82 | 0.996 | 0.27 | 0 | low | true |  | cnn_high_confidence_false_positive | 0.38
EPIC_211781094 | noise_or_artifact | 0.917082 | 16.7118 |  |  | 0 |  | true |  | cnn_high_confidence_false_positive | 0.06
EPIC_211902535 | noise_or_artifact | 0.888558 | 53.5123 | 0.68 |  | 0 |  | true | 0.0709877 | cnn_high_confidence_false_positive | 0.06
EPIC_211944670 | low_priority_negative | 0.980615 | 5.902 | 0.721 |  | 865 | moderate | true |  | cnn_high_confidence_false_positive | 0.06
EPIC_211980366 | variable_or_possible_eb | 0.932988 | 4.64515 | 0.988 | 0.468 | 4537 |  | true |  | cnn_high_confidence_false_positive | 0.2
EPIC_211995966 | reject_as_noise_or_artifact | 0.878716 | 3.36636 | 0.952 |  | 3 | moderate | false |  | cnn_high_confidence_false_positive | 0.18
EPIC_212009427 | variable_or_possible_eb | 0.854064 | 13.0927 | 0.975 |  | 3383 | moderate | true |  | cnn_high_confidence_false_positive | 0.06
EPIC_212020442 | reject_as_noise_or_artifact | 0.896793 | 55.3006 | 0.815 |  | 0 | moderate | true |  | cnn_high_confidence_false_positive | 0.06

B. CNN high-confidence holds
count=7
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211356395 | uncertain_hold | 0.907269 | 10.4772 |  |  | 0 |  | true |  | cnn_high_confidence_hold | 0.06
EPIC_211371463 | uncertain_hold | 0.927414 | 89.4649 |  | 1.9 | 0 |  | true |  | cnn_high_confidence_hold | 0.06
EPIC_211409713 | uncertain_hold | 0.965678 | 35.0213 |  |  | 0 | moderate | true |  | cnn_high_confidence_hold | 0.06
EPIC_211512262 | uncertain_hold | 0.980781 | 21.0511 | 0.981 |  | 0 | low | true |  | cnn_high_confidence_hold | 0.06
EPIC_211745624 | uncertain_hold | 0.96026 | 5.16812 | 0.992 | 0.49 | 0 |  | true |  | cnn_high_confidence_hold | 0.06
EPIC_211770390 | uncertain_hold | 0.935516 | 27.2591 | 0.562 | 1.26 | 0 |  | true |  | cnn_high_confidence_hold | 0.06
EPIC_211805860 | uncertain_hold | 0.979912 | 29.669 | 0.957 | 1.48 | 0 | review | true | 0.0345209 | cnn_high_confidence_hold | 0.24

C. Low/moderate CNN positives
count=1
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211357782 | candidate_like | 0.688861 | 33.3519 |  |  | 0 |  | true |  | low_moderate_cnn_positive | 0.06

D. High-SNR false positives
count=24
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211424769 | binary_system | 0.696191 | 85.2574 | 0.343 |  | 0 |  | true |  | high_snr_false_positive | 0.06
EPIC_211493634 | noise_or_artifact | 0.890358 | 786.546 | 0.789 |  | 0 | moderate | true |  | high_snr_false_positive | 0.06
EPIC_211549072 | noise_or_artifact | 0.990776 | 86.2838 | 0.472 |  | 0 | review | true | 0.272569 | high_snr_false_positive | 0.06
EPIC_211573482 | binary_system | 0.823558 | 287.911 | 0.61 | 1.16 | 0 |  | true |  | high_snr_false_positive | 0.2
EPIC_211683904 | noise_or_artifact | 0.684117 | 84.6608 | 0.812 |  | 0 | moderate | true | 0.159505 | high_snr_false_positive | 0.06
EPIC_211800810 | binary_system | 0.681885 | 88.3513 | 0.219 |  | 0 |  | true | 0.105804 | high_snr_false_positive | 0.06
EPIC_211844348 | noise_or_artifact | 0.80625 | 59.0231 | 0.949 |  | 0 |  | true |  | high_snr_false_positive | 0.06
EPIC_211902535 | noise_or_artifact | 0.888558 | 53.5123 | 0.68 |  | 0 |  | true | 0.0709877 | high_snr_false_positive | 0.06
EPIC_211911273 | noise_or_artifact | 0.780082 | 525.129 | 0.776 |  | 0 |  | true | 0.147716 | high_snr_false_positive | 0.06
EPIC_211920612 | reject_as_noise_or_artifact | 0.822831 | 1414.66 | 0.304 |  | 0 | pass | true |  | high_snr_false_positive | 0.06
EPIC_211933215 | reject_as_noise_or_artifact | 0.731265 | 85.6721 |  |  | 1039 |  | true |  | high_snr_false_positive | 0.06
EPIC_211935518 | low_priority_negative | 0.769432 | 227.31 | 0.929 |  | 751 |  | true |  | high_snr_false_positive | 0.06
EPIC_211939206 | low_priority_negative | 0.735696 | 97.8051 | 0.712 |  | 1671 | moderate | true |  | high_snr_false_positive | 0.06
EPIC_211942823 | reject_as_noise_or_artifact | 0.687399 | 92.0631 | 0.702 |  | 1049 | high | true |  | high_snr_false_positive | 0.06
EPIC_211945592 | reject_as_noise_or_artifact | 0.681645 | 178.528 | 0.845 | 0.249 | 1248 |  | true |  | high_snr_false_positive | 0.06
EPIC_211949114 | reject_as_noise_or_artifact | 0.661673 | 142.684 | 0.885 | 0.288 | 1258 |  | true |  | high_snr_false_positive | 0.06
EPIC_211952381 | reject_as_noise_or_artifact | 0.822656 | 87.6861 | 0.717 | 0.355 | 0 | pass | true |  | high_snr_false_positive | 0.06
EPIC_211975006 | reject_as_noise_or_artifact | 0.761132 | 786.254 | 0.911 |  | 1448 |  | true |  | high_snr_false_positive | 0.06
EPIC_211977407 | reject_as_noise_or_artifact | 0.673597 | 174.214 | 0.828 | 0.432 | 1574 |  | true |  | high_snr_false_positive | 0.06
EPIC_211979334 | reject_as_noise_or_artifact | 0.766415 | 142.097 | 0.601 |  | 698 | moderate | true |  | high_snr_false_positive | 0.06
EPIC_211980250 | reject_as_noise_or_artifact | 0.798509 | 967.711 | 0.928 |  | 476 |  | true |  | high_snr_false_positive | 0.06
EPIC_212007527 | reject_as_noise_or_artifact | 0.670286 | 52.4107 |  |  | 7655 |  | true |  | high_snr_false_positive | 0.06
EPIC_212020442 | reject_as_noise_or_artifact | 0.896793 | 55.3006 | 0.815 |  | 0 | moderate | true |  | high_snr_false_positive | 0.06
EPIC_212025784 | reject_as_noise_or_artifact | 0.707795 | 167.93 | 0.913 | 0.718 | 1301 |  | true |  | high_snr_false_positive | 0.06

E. Good odd/even false positives
count=13
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211529191 | noise_or_artifact | 0.922508 | 24.6501 |  |  | 0 |  | true |  | good_odd_even_false_positive | 0.06
EPIC_211730838 | binary_system | 0.989619 | 11.82 | 0.996 | 0.27 | 0 | low | true |  | good_odd_even_false_positive | 0.38
EPIC_211781094 | noise_or_artifact | 0.917082 | 16.7118 |  |  | 0 |  | true |  | good_odd_even_false_positive | 0.06
EPIC_211844348 | noise_or_artifact | 0.80625 | 59.0231 | 0.949 |  | 0 |  | true |  | good_odd_even_false_positive | 0.06
EPIC_211935518 | low_priority_negative | 0.769432 | 227.31 | 0.929 |  | 751 |  | true |  | good_odd_even_false_positive | 0.06
