epic_id,cnn_model_path,cnn_score,cnn_score_name,cnn_role,morphology_positive,cnn_policy_version,autovet_batch,autovet_stage,autovet_label,autovet_reason,autovet_score,autovet_period_days,autovet_threshold,autovet_recommended_action,period_gate,odd_even_gate,secondary_eclipse_gate,oot_variability_gate,depth_consistency_gate,event_cluster_gate,alias_gate,thruster_cadence_gate,diagnostic_gate_summary,manual_label,manual_reason,manual_reviewer,manual_review_date,manual_next_action,manual_confidence,stage_f_label,stage_f_reason,stage_g_label,stage_g_reason,promotion_status,final_candidate_status,training_label,training_label_source,used_for_training,eligible_for_future_vetter_training,review_level,manual_vetted,diagnostic_vetted,autovet_only,master_label,master_reason,master_next_action,decision_authority,has_conflict,conflict_reason,source_files,last_updated,cnn_manual_conflict,cnn_manual_conflict_reason
EPIC_200008831,models/k2_nocrop_flux_seed46_split303.best.keras,0.8340081572532654,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,candidate_batch1,stage_i_internal_autovet,auto_candidate_with_caveat,"auto_candidate_with_caveat is never directly promotable by policy; Stage F likely EB; odd_even_ratio=0.3503, odd_even_delta=0.9622, alias_risk=high, primary_depth=4.131",0.7242248953001397,6.109175422134285,,review_secondary_odd_even_and_eb_features_before_label_update,pass,unknown,unknown,unknown,unknown,pass,unknown,unknown,period_gate=pass; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=unknown; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=unknown; thruster_cadence_gate=unknown,binary_system,Strong odd/even depth mismatch with ratio 0.350; high half-period alias risk; Stage F likely EB; noisy/unstable morphology; not planet-like.,user_provided_manual_review,2026-05-19,reject_from_candidate_pipeline,high,,,,,unresolved,,,,False,False,manually_reviewed,true,False,false,binary_system,Strong odd/even depth mismatch with ratio 0.350; high half-period alias risk; Stage F likely EB; noisy/unstable morphology; not planet-like.,reject_from_candidate_pipeline,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_candidate_batch1/autovet_candidate_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic5/manual_vetting_decisions_20260519_epic5.csv,2026-05-19,,
EPIC_200008924,models/k2_nocrop_flux_seed46_split303.best.keras,0.6653202772140503,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,candidate_batch1,stage_i_internal_autovet,auto_candidate_with_caveat,"auto_candidate_with_caveat is never directly promotable by policy; Stage F reject; primary_snr=3.563, num_events=2, stage_f_reason=primary transit depth is not significant in cached folded light curve",0.4782016364256004,2.9421663436151,,add_to_reject_audit_queue_before_training,pass,unknown,unknown,unknown,unknown,pass,unknown,unknown,period_gate=pass; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=unknown; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=unknown; thruster_cadence_gate=unknown,uncertain_hold,"Weak primary SNR and Stage F rejected due to insignificant cached folded transit, but odd/even is not severe and no secondary eclipse is detected; hold for recheck rather than hard reject.",user_provided_manual_review,2026-05-19,keep_hold_for_recheck,medium,,,,,unresolved,,,,False,False,manually_reviewed,true,False,false,uncertain_hold,"Weak primary SNR and Stage F rejected due to insignificant cached folded transit, but odd/even is not severe and no secondary eclipse is detected; hold for recheck rather than hard reject.",keep_hold_for_recheck,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_candidate_batch1/autovet_candidate_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic5/manual_vetting_decisions_20260519_epic5.csv,2026-05-19,,
EPIC_211356395,models/k2_nocrop_flux_seed46_split303.best.keras,0.9072693586349488,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,stage_i_autovet_v1_global,stage_i_internal_autovet,auto_hold_needs_review,"Some signal evidence exists, but there is no reliable saved period support.",0.704932427770459,,,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,fail,unknown,unknown,unknown,unknown,pass,unknown,unknown,period_gate=fail; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=unknown; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=unknown; thruster_cadence_gate=unknown,uncertain_hold,"Visible shallow folded dip with good odd/even consistency and no secondary eclipse; OOT variability acceptable at about 0.30 of depth; primary SNR is modest and period support is fallback/ambiguous, so hold for Stage F validation rather than direct promotion.",user_provided_manual_review,2026-05-19,promote_to_stage_f_period_validation,medium,,,,,hold_or_followup,,,,False,False,manually_reviewed,true,False,false,uncertain_hold,"Visible shallow folded dip with good odd/even consistency and no secondary eclipse; OOT variability acceptable at about 0.30 of depth; primary SNR is modest and period support is fallback/ambiguous, so hold for Stage F validation rather than direct promotion.",promote_to_stage_f_period_validation,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic5/manual_vetting_decisions_20260519_epic5.csv,2026-05-19,,
EPIC_211357782,models/k2_nocrop_flux_seed46_split303.best.keras,0.6888611316680908,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,stage_i_autovet_v1_global,stage_i_internal_autovet,auto_hold_needs_review,"Some signal evidence exists, but there is no reliable saved period support.",0.6767832627504984,,,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,fail,unknown,unknown,unknown,unknown,pass,unknown,unknown,period_gate=fail; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=unknown; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=unknown; thruster_cadence_gate=unknown,candidate_like,Improved plots show a visible repeated dip; odd/even acceptable; no secondary eclipse; physically plausible depth; modest SNR and fallback-only period support require Stage F validation.,user_provided_manual_review,2026-05-19,promote_to_stage_f_validation,medium,,,,,hold_or_followup,,,,False,False,manually_reviewed,true,False,false,candidate_like,Improved plots show a visible repeated dip; odd/even acceptable; no secondary eclipse; physically plausible depth; modest SNR and fallback-only period support require Stage F validation.,promote_to_stage_f_validation,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic5/manual_vetting_decisions_20260519_epic5.csv,2026-05-19,,
EPIC_211371463,models/k2_nocrop_flux_seed46_split303.best.keras,0.9274136424064636,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,stage_i_autovet_v1_global,stage_i_internal_autovet,auto_hold_needs_review,"Some signal evidence exists, but there is no reliable saved period support.",0.7008926721389137,,,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,fail,unknown,unknown,unknown,unknown,pass,unknown,unknown,period_gate=fail; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=unknown; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=unknown; thruster_cadence_gate=unknown,uncertain_hold,"Strong dip morphology and excellent odd/even consistency, but OOT variability is about 1.9x the transit depth, duration is long for P=2.84d, and period source is fallback-only; hold pending better OOT/detrending validation.",user_provided_manual_review,2026-05-19,run_stage_f_validation_with_oot_detrending_check,medium,,,,,hold_or_followup,,,,False,False,manually_reviewed,true,False,false,uncertain_hold,"Strong dip morphology and excellent odd/even consistency, but OOT variability is about 1.9x the transit depth, duration is long for P=2.84d, and period source is fallback-only; hold pending better OOT/detrending validation.",run_stage_f_validation_with_oot_detrending_check,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic5/manual_vetting_decisions_20260519_epic5.csv,2026-05-19,,
EPIC_211409713,models/k2_nocrop_flux_seed46_split303.best.keras,0.9656775593757628,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,hold_batch1,stage_i_internal_autovet,auto_hold_needs_review,original AutoVet evidence had missing/weak saved period support,0.7339645163980263,1.54898,,run_period_search_before_label_update,fail,unknown,unknown,pass,unknown,pass,fail,unknown,period_gate=fail; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=pass; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=fail; thruster_cadence_gate=unknown,uncertain_hold,"Strong and clean folded transit morphology with high primary SNR, plausible depth, short duration, low OOT variability relative to depth, and no significant secondary eclipse. However odd/even is unavailable and alias risk is moderate, with stronger support at the double-period alias, so keep as uncertain hold pending Stage F period/odd-even validation rather than direct candidate promotion.",user_provided_manual_review,2026-05-19,promote_to_stage_f_period_validation,medium_high,,,,,hold_or_followup,,,,False,False,manually_reviewed,true,False,false,uncertain_hold,"Strong and clean folded transit morphology with high primary SNR, plausible depth, short duration, low OOT variability relative to depth, and no significant secondary eclipse. However odd/even is unavailable and alias risk is moderate, with stronger support at the double-period alias, so keep as uncertain hold pending Stage F period/odd-even validation rather than direct candidate promotion.",promote_to_stage_f_period_validation,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_hold_batch1/autovet_hold_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_hold_batch1/post_repair_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic11/manual_vetting_decisions_cumulative_20260519_epic11.csv,2026-05-19,,
EPIC_211418290,models/k2_nocrop_flux_seed46_split303.best.keras,0.6718457341194153,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,stage_i_autovet_v1_global,stage_i_internal_autovet,auto_hold_needs_review,"Some signal evidence exists, but there is no reliable saved period support.",0.674752073608462,,,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,fail,unknown,unknown,unknown,unknown,pass,unknown,unknown,period_gate=fail; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=unknown; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=unknown; thruster_cadence_gate=unknown,uncertain_hold,"Transit-like signal is present with strong primary SNR and acceptable odd/even consistency, with low alias risk and no detected secondary eclipse. However the OOT variability is high at about 0.76x transit depth, transit duration is very long at about 12.0 hours for P=4.95d, CNN morphology score is only moderate, and the period source is event-spacing fallback with many candidate periods. Keep as uncertain hold pending improved detrending and period validation rather than promote.",user_provided_manual_review,2026-05-19,keep_hold_for_recheck_with_detrending_and_period_validation,medium,,,,,hold_or_followup,,,,False,False,manually_reviewed,true,False,false,uncertain_hold,"Transit-like signal is present with strong primary SNR and acceptable odd/even consistency, with low alias risk and no detected secondary eclipse. However the OOT variability is high at about 0.76x transit depth, transit duration is very long at about 12.0 hours for P=4.95d, CNN morphology score is only moderate, and the period source is event-spacing fallback with many candidate periods. Keep as uncertain hold pending improved detrending and period validation rather than promote.",keep_hold_for_recheck_with_detrending_and_period_validation,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic11/manual_vetting_decisions_cumulative_20260519_epic11.csv,2026-05-19,,
EPIC_211424769,models/k2_nocrop_flux_seed46_split303.best.keras,0.6961907148361206,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,stage_i_autovet_v1_global,stage_i_internal_autovet,auto_hold_needs_review,"Some signal evidence exists, but there is no reliable saved period support.",0.6861145501926422,,,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,fail,unknown,unknown,unknown,unknown,pass,unknown,unknown,period_gate=fail; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=unknown; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=unknown; thruster_cadence_gate=unknown,binary_system,"Strong odd/even depth mismatch with ratio about 0.343 and explicit delta about 0.82, making the signal EB-like rather than planet-like. Primary SNR is only modest, CNN morphology score is moderate, and the period source is event-spacing fallback with many candidate periods, so reject from candidate pipeline despite low OOT variability and no meaningful positive secondary eclipse.",user_provided_manual_review,2026-05-19,reject_from_candidate_pipeline,high,,,,,hold_or_followup,,,,False,False,manually_reviewed,true,False,false,binary_system,"Strong odd/even depth mismatch with ratio about 0.343 and explicit delta about 0.82, making the signal EB-like rather than planet-like. Primary SNR is only modest, CNN morphology score is moderate, and the period source is event-spacing fallback with many candidate periods, so reject from candidate pipeline despite low OOT variability and no meaningful positive secondary eclipse.",reject_from_candidate_pipeline,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic11/manual_vetting_decisions_cumulative_20260519_epic11.csv,2026-05-19,,
EPIC_211429653,models/k2_nocrop_flux_seed46_split303.best.keras,0.8376439809799194,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,hold_batch1,stage_i_internal_autovet,auto_hold_needs_review,"original AutoVet evidence had missing/weak saved period support; EB risk features: odd_even_ratio=0.2465, odd_even_delta=1.471, secondary_ratio=0, alias_risk=low; artifact/reject features: primary_snr=3.25, num_events=5",0.7259421211482318,0.50717,,run_period_search_before_label_update,fail,unknown,unknown,pass,unknown,pass,pass,unknown,period_gate=fail; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=pass; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=pass; thruster_cadence_gate=unknown,noise_or_artifact,"Stage F already rejects the signal because the primary transit depth is not significant in the cached folded light curve. Primary SNR is weak at about 3.25, the event count is low, and the period is very short at P=0.507d with a long apparent duration of about 5.88 hours. Odd/even is also severely inconsistent with ratio about 0.247 and explicit delta about 1.47, so the morphology is not reliable for planet promotion despite CNN morphology-positive scoring.",user_provided_manual_review,2026-05-19,reject_from_candidate_pipeline,high,,,,,hold_or_followup,,,,False,False,manually_reviewed,true,False,false,noise_or_artifact,"Stage F already rejects the signal because the primary transit depth is not significant in the cached folded light curve. Primary SNR is weak at about 3.25, the event count is low, and the period is very short at P=0.507d with a long apparent duration of about 5.88 hours. Odd/even is also severely inconsistent with ratio about 0.247 and explicit delta about 1.47, so the morphology is not reliable for planet promotion despite CNN morphology-positive scoring.",reject_from_candidate_pipeline,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_hold_batch1/autovet_hold_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_hold_batch1/post_repair_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic11/manual_vetting_decisions_cumulative_20260519_epic11.csv,2026-05-19,,
EPIC_211432321,models/k2_nocrop_flux_seed46_split303.best.keras,0.7472430467605591,transit_morphology_score,morphology_scorer_only,True,frozen_batch3_transit_morphology_policy_2026-05-15,stage_i_autovet_v1_global,stage_i_internal_autovet,auto_hold_needs_review,"Some signal evidence exists, but there is no reliable saved period support.",0.7025625330328623,,,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,fail,unknown,unknown,unknown,unknown,pass,unknown,unknown,period_gate=fail; odd_even_gate=unknown; secondary_eclipse_gate=unknown; oot_variability_gate=unknown; depth_consistency_gate=unknown; event_cluster_gate=pass; alias_gate=unknown; thruster_cadence_gate=unknown,noise_or_artifact,"Weak/shallow signal with modest primary SNR around 7.52, very short period at P=0.776d, and implausibly long transit duration around 6.37 hours. Period support is unreliable from event-spacing fallback with many candidate periods, and alias risk is moderate with stronger support near the double-period alias. Odd/even is not catastrophically mismatched but still imperfect, so reject as noise/artifact rather than promote.",user_provided_manual_review,2026-05-19,reject_from_candidate_pipeline,high,,,,,hold_or_followup,,,,False,False,manually_reviewed,true,False,false,noise_or_artifact,"Weak/shallow signal with modest primary SNR around 7.52, very short period at P=0.776d, and implausibly long transit duration around 6.37 hours. Period support is unreliable from event-spacing fallback with many candidate periods, and alias risk is moderate with stronger support near the double-period alias. Odd/even is not catastrophically mismatched but still imperfect, so reject as noise/artifact rather than promote.",reject_from_candidate_pipeline,manual_review,true,manual_label disagrees with autovet_label,plots/k2_batch/stage_i_autovet_v1_results.csv; plots/k2_batch/master_vetted_catalog/manual_review_updates/20260519_epic11/manual_vetting_decisions_cumulative_20260519_epic11.csv,2026-05-19,,
