threshold,predicted_positives,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1
0.1,38,7,31,0,0,0.18421052631578946,1.0,0.3111111111111111
0.15,38,7,31,0,0,0.18421052631578946,1.0,0.3111111111111111
0.2,38,7,31,0,0,0.18421052631578946,1.0,0.3111111111111111
0.25,38,7,31,0,0,0.18421052631578946,1.0,0.3111111111111111
0.3,38,7,31,0,0,0.18421052631578946,1.0,0.3111111111111111
0.35,38,7,31,0,0,0.18421052631578946,1.0,0.3111111111111111
0.4,38,7,31,0,0,0.18421052631578946,1.0,0.3111111111111111
0.45,37,7,30,1,0,0.1891891891891892,1.0,0.3181818181818182
0.5,37,7,30,1,0,0.1891891891891892,1.0,0.3181818181818182
0.55,37,7,30,1,0,0.1891891891891892,1.0,0.3181818181818182
0.6,36,7,29,2,0,0.19444444444444445,1.0,0.32558139534883723
0.65,25,5,20,11,2,0.2,0.7142857142857143,0.3125
0.7,7,2,5,26,5,0.2857142857142857,0.2857142857142857,0.2857142857142857
0.75,2,1,1,30,6,0.5,0.14285714285714285,0.22222222222222224
0.8,2,1,1,30,6,0.5,0.14285714285714285,0.22222222222222224
0.85,1,0,1,30,7,0.0,0.0,0.0
0.9,1,0,1,30,7,0.0,0.0,0.0
0.95,1,0,1,30,7,0.0,0.0,0.0
