base_weight_set,penalty_weight_set,penalty_scale,threshold,predicted_positives,tp,fp,tn,fn,precision,recall,f1,top_5_tp,top_5_fp,top_5_precision,top_10_tp,top_10_fp,top_10_precision,meets_precision_target,meets_recall_floor,selection_bucket
4,0,0.55,0.7,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
4,2,0.55,0.7,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
4,4,0.55,0.7,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
0,0,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
0,2,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
0,4,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
1,0,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
2,0,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
2,2,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
2,3,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
2,4,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
3,0,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
3,2,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
3,3,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
3,4,0.55,0.675,3,2,1,30,5,0.6666666666666666,0.2857142857142857,0.4,2,3,0.4,2,8,0.2,True,True,0
