priority,review_category,epic_id,source_batch,candidate_survivor_score,trusted_period,period_decision,validation_period_days,odd_even_depth_ratio,oot_to_depth,secondary_depth_snr,secondary_to_primary_depth_ratio,event_stack_coherence,event_stack_coherence_score,local_baseline_stability,validation_summary_json,one_page_visual_panel,final_label,manual_reason,review_date,review_source,review_status
1,uncertain_hold_positive,EPIC_211624954,4,0.746833,False,no_automatic_period_selection,1.53921,0.9849944811416169,0.2679599086531153,-0.5178397710137687,-0.27099991817628183,moderate,0.5808327674290603,stable,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211624954/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211624954/deep_review_panel.png,uncertain_hold_positive,"Best surviving positive hold, but period remains untrusted and 2P shows a possible near-equal secondary concern. Do not promote.",2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
1,uncertain_hold_positive,EPIC_211687388,4,0.745433,False,no_automatic_period_selection,12.07106,0.7239831552614334,0.1384341265086153,0.0,0.0,strong,0.7533959804665337,insufficient_events,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211687388/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211687388/deep_review_panel.png,false_positive_eb_or_variable,Competing-period review exposes EB/variable evidence.,2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
1,uncertain_hold_positive,EPIC_211768304,5,0.645859,False,no_automatic_period_selection,9.84815,0.7618304954739153,0.37910226258404306,0.0,0.0,moderate,0.6505297963299048,insufficient_events,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211768304/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211768304/deep_review_panel.png,false_positive_eb_or_variable,"At 2P, coherent near-equal secondary structure, odd/even concern, elevated OOT variability, and untrusted period indicate a weak EB or stellar false positive.",2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
1,uncertain_hold_positive,EPIC_211996306,6,0.607627,False,no_automatic_period_selection,1.58005,0.898879730796232,1.0496573492711998,0.025313160032601464,0.015317102461273355,moderate,0.5560885390135053,insufficient_events,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211996306/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211996306/deep_review_panel.png,reject_as_noise_or_artifact,Weak and unreliable event evidence with excessive surrounding variability.,2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
1,uncertain_hold_positive,EPIC_211959909,7,0.559071,False,no_automatic_period_selection,4.84911,0.9013999607307065,0.607799282001473,0.0,0.0,moderate,0.6501544293166489,stable,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211959909/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211959909/deep_review_panel.png,false_positive_eb_or_variable,2P comparison exposes a strong secondary/EB interpretation.,2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
2,uncertain_hold_period_ambiguous,EPIC_211912465,3,0.578549,False,no_automatic_period_selection,12.0099993735693,0.8110683770251026,0.05583205682286841,0.0,0.0,moderate,0.7206304988756822,insufficient_events,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211912465/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211912465/deep_review_panel.png,reject_as_noise_or_artifact,"Untrusted period, inconsistent P/2-P-2P behaviour, implausible competing-event selection, and insufficient reproducible transit evidence.",2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
2,uncertain_hold_period_ambiguous,EPIC_211485867,5,0.530655,False,no_automatic_period_selection,5.773551982306528,0.8512864372773422,0.46237859932357445,0.0,0.0,strong,0.817460874355177,stable,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211485867/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211485867/deep_review_panel.png,false_positive_eb_or_variable,"At 2P, primary and secondary depths are near equal and coherently repeated, consistent with an eclipsing binary folded at half-period.",2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
2,uncertain_hold_period_ambiguous,EPIC_211387236,6,0.526128,False,no_automatic_period_selection,8.47915,0.7155262676393854,0.4754420923662667,0.4742918602682657,0.03596565557041967,strong,0.7508713300393788,mixed,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211387236/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211387236/deep_review_panel.png,false_positive_eb_or_variable,"Approximately 16.96-day solution reveals strong, coherent, near-equal primary and secondary eclipses.",2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
2,uncertain_hold_period_ambiguous,EPIC_211889082,8,0.482963,False,no_automatic_period_selection,1.875202371048364,0.7362305312398645,0.37684291748873355,-0.2942210440890807,-0.1421469890042406,moderate,0.5756323587577696,stable,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211889082/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211889082/deep_review_panel.png,false_positive_eb_or_variable,"Broad coherent stellar modulation, unresolved period, odd/even concern, and near-equal structure at 2P. Likely variable/contact binary.",2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
3,highest_scoring_unreviewed_hold,EPIC_211816343,6,0.718736,False,no_automatic_period_selection,0.64564,0.943175679597295,0.8651597915703519,-2.052168643145242,-0.7729474282278034,moderate,0.6333875495262155,stable,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211816343/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211816343/deep_review_panel.png,false_positive_eb_or_variable,"Broad periodic modulation, very high OOT/depth, and near-equal structures at 2P. Not transit-like.",2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
3,highest_scoring_unreviewed_hold,EPIC_212029934,5,0.634412,False,no_automatic_period_selection,1.24634,0.9677255055372925,0.7653733590824818,-1.2740099341267648,-0.637440207730216,moderate,0.6099723334500146,stable,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_212029934/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_212029934/deep_review_panel.png,false_positive_eb_or_variable,Coherent broad stellar modulation with near-equal primary and secondary features at 2P. Likely contact binary or ellipsoidal variable.,2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
3,highest_scoring_unreviewed_hold,EPIC_211351798,5,0.622651,True,trusted_saved_period,8.88099,0.7977102095052904,0.576434242870734,0.0,0.0,strong,0.809829192085733,stable,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211351798/validation_summary.json,plots/k2_batch/gatevetter_v0_2_deep_review/EPIC_211351798/deep_review_panel.png,false_positive_eb_or_variable,2P reveals coherent near-equal primary and secondary eclipses.,2026-07-31,user_supplied_gatevetter_v0_2_deep_review_update,complete
