"epic_id","promote_tier","n_events_long_good","n_events_ge_10_cadences","max_shape_score","spike_fraction_2cadence","depth_ratio","stage_r_reason","events_csv","events_csv_available","n_events_raw","n_events_after_filters","best_period_days","period_support_count","event_family_count","folded_depth_consistency","duration_consistency","odd_even_depth_delta","period_search_reason","cluster_center_phase","n_predicted","n_covered","coverage_rate","hit_rate_snr","hit_rate_shape","soft_hit_rate","cache_hits","cache_misses","downloads_done","validations_run","stage_d_label","stage_d_reason"
"EPIC_211598703","Tier_A","13","17","0.8241932430833396","0.3","47.90929311449544","promote: 13 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.300","plots\k2_batch\epics\EPIC_211598703\events.csv","True","30","30","16.16143666474818","10","5","0.5372787952026615","1.0","1.8986900627373047","validated","0.2518863511424123","5","5","1.0","0.4","0.6","0.4","1","0","0","3","hold_deeper_eval","finite period with support=10, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211759361","Tier_A","12","14","0.8208052670808792","0.3043478260869565","23.945370503574136","promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.304","plots\k2_batch\epics\EPIC_211759361\events.csv","True","23","23","14.608622348492645","9","6","0.6401872019514141","0.5416666666666666","0.9940254899377609","validated","0.7586970797554423","5","5","1.0","0.8","0.4","0.8","1","0","0","3","hold_deeper_eval","finite period with support=9, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211423229","Tier_A","12","17","0.8104949006208213","0.125","31.83704056415907","promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.125","plots\k2_batch\epics\EPIC_211423229\events.csv","True","24","24","12.54515116427524","7","3","0.7553440299994697","0.75","2.507713239102722","validated","0.20185640306202965","6","6","1.0","0.3333333333333333","0.3333333333333333","0.3333333333333333","1","0","0","3","hold_deeper_eval","finite period with support=7, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211908778","Tier_A","12","25","0.7854580036870729","0.09375","15.44506749474443","promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.094","plots\k2_batch\epics\EPIC_211908778\events.csv","True","32","32","14.945896123012062","22","7","0.6776773904009382","0.5789473684210527","1.0625933563426753","validated","0.11679244780564321","5","5","1.0","1.0","0.2","1.0","1","0","0","3","hold_deeper_eval","finite period with support=22, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211821200","Tier_A","10","18","0.8895670170438023","0.074074074074074","27.4716041911648","promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.074","plots\k2_batch\epics\EPIC_211821200\events.csv","True","27","27","16.794808524282416","11","4","0.5407121081776027","0.5869565217391304","1.9009976808334466","validated","0.06942959848932273","4","4","1.0","0.75","0.5","0.75","1","0","0","3","hold_deeper_eval","finite period with support=11, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211686773","Tier_A","9","20","0.8969397984133887","0.0625","40.33396727412399","promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.062","plots\k2_batch\epics\EPIC_211686773\events.csv","True","32","32","18.9197125450155","17","5","0.580103535975053","0.7142857142857143","2.846872512307569","validated","0.917912723889884","4","4","1.0","0.5","0.5","0.5","1","0","0","3","hold_deeper_eval","finite period with support=17, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211404127","Tier_A","9","15","0.8714097297986186","0.217391304347826","45.83294928205858","promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.217","plots\k2_batch\epics\EPIC_211404127\events.csv","True","23","23","18.613248512338032","18","5","0.7074872271360473","0.9583333333333334","0.8744076688099227","validated","0.2451514933312252","4","4","1.0","1.0","0.75","1.0","1","0","0","3","hold_deeper_eval","finite period with support=18, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211409604","Tier_A","8","14","0.8856846318009106","0.1333333333333333","36.43377180860857","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.133","plots\k2_batch\epics\EPIC_211409604\events.csv","True","30","30","16.284045151696773","12","4","0.6300410379034013","0.5853658536585366","0.9143901559664503","validated","0.6915250107251673","5","5","1.0","0.4","0.4","0.4","1","0","0","3","hold_deeper_eval","finite period with support=12, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211434347","Tier_A","8","22","0.8416704063048437","0.2","39.37458387888516","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.200","plots\k2_batch\epics\EPIC_211434347\events.csv","True","35","35","19.839143887955288","17","3","0.5390502644052498","0.8333333333333334","1.5495709138913736","validated","0.3514680268090358","4","4","1.0","0.5","0.5","0.5","1","0","0","3","hold_deeper_eval","finite period with support=17, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211972767","Tier_A","8","23","0.8169500641238717","0.0909090909090909","7.738778295429903","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.091","plots\k2_batch\epics\EPIC_211972767\events.csv","True","33","33","17.10134562114399","23","8","0.8607203736069955","0.7209302325581395","0.8984440684348493","validated","0.12170908866461684","4","4","1.0","1.0","1.0","1.0","1","0","0","3","hold_deeper_eval","finite period with support=23, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211306307","Tier_A","7","13","0.8840099233311842","0.2666666666666666","64.91501476538352","promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.267","plots\k2_batch\epics\EPIC_211306307\events.csv","True","30","30","14.91521162303252","16","6","0.802554374758094","0.6666666666666666","3.293432511169989","validated","0.6557469073471405","5","5","1.0","0.6","0.2","0.6","1","0","0","3","hold_deeper_eval","finite period with support=16, but deeper-eval guardrails are incomplete or marginal; reason=validated"
"EPIC_211746706","Tier_A","7","15","0.8276325603836964","0.25","20.151037204623343","promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250","plots\k2_batch\epics\EPIC_211746706\events.csv","True","24","24","17.959520721076842","14","4","0.7467553915947358","0.9285714285714286","0.8552822328739973","validated","0.5362295837312623","5","5","1.0","0.8","0.4","0.8","1","0","0","3","hold_deeper_eval","finite period with support=14, but deeper-eval guardrails are incomplete or marginal; reason=validated"
