"epic_id","best_period_days","period_support_count","event_family_count","folded_depth_consistency","duration_consistency","odd_even_depth_delta","coverage_rate","hit_rate_snr","hit_rate_shape","soft_hit_rate","stage_d_label","stage_d_reason"
"EPIC_211551640","10.563287809098483","21","7","0.9359130232369672","1.0","0.36789199878939416","1.0","1.0","0.5714285714285714","1.0","pass_deeper_eval","period_support_count=21; depth_consistency=0.936; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211889692","17.673423499920546","21","5","0.8911991813361217","0.7916666666666667","0.05077313869057715","1.0","1.0","0.75","1.0","pass_deeper_eval","period_support_count=21; depth_consistency=0.891; duration_consistency=0.792; validated cache-light-curve support"
"EPIC_211555255","9.929781530910986","20","7","0.8711994527517155","0.5555555555555556","0.16774929741009967","1.0","0.625","0.25","0.625","pass_deeper_eval","period_support_count=20; depth_consistency=0.871; duration_consistency=0.556; validated cache-light-curve support"
"EPIC_211972200","18.91986675386579","19","4","0.9698031883868607","1.0","0.22616306573564363","1.0","0.75","0.5","0.75","pass_deeper_eval","period_support_count=19; depth_consistency=0.970; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211490307","12.80064960272307","18","6","0.8415847679803974","0.6136363636363635","0.37646886694435133","1.0","0.6666666666666666","0.5","0.6666666666666666","pass_deeper_eval","period_support_count=18; depth_consistency=0.842; duration_consistency=0.614; validated cache-light-curve support"
"EPIC_212003686","12.44296006046352","18","8","0.6857651227953394","0.8958333333333334","0.5786311010728846","1.0","1.0","0.6666666666666666","1.0","pass_deeper_eval","period_support_count=18; depth_consistency=0.686; duration_consistency=0.896; validated cache-light-curve support"
"EPIC_211534076","15.221580048255191","16","5","0.8115918451248266","0.9565217391304348","0.1429201407325919","1.0","0.5","0.5","0.5","pass_deeper_eval","period_support_count=16; depth_consistency=0.812; duration_consistency=0.957; validated cache-light-curve support"
"EPIC_211554121","14.057024791287404","15","6","0.8604473744226185","0.6666666666666666","0.48899957144867456","1.0","0.6","0.6","0.6","pass_deeper_eval","period_support_count=15; depth_consistency=0.860; duration_consistency=0.667; validated cache-light-curve support"
"EPIC_211739276","19.164904292916617","15","6","0.8011001742617926","0.6666666666666666","0.48917830411626534","1.0","0.6666666666666666","0.3333333333333333","0.6666666666666666","pass_deeper_eval","period_support_count=15; depth_consistency=0.801; duration_consistency=0.667; validated cache-light-curve support"
"EPIC_211563576","17.142289455598302","15","9","0.6906327801428302","1.0","0.36932154549851753","1.0","0.75","0.25","0.75","pass_deeper_eval","period_support_count=15; depth_consistency=0.691; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211732801","8.499644226245664","15","7","0.6824698421846229","0.6666666666666666","0.15842647174953803","0.8888888888888888","1.0","0.5","1.0","pass_deeper_eval","period_support_count=15; depth_consistency=0.682; duration_consistency=0.667; validated cache-light-curve support"
"EPIC_211525754","13.198848621046864","14","6","0.9184157767190645","0.9583333333333334","0.1776629394856127","1.0","0.8","0.4","0.8","pass_deeper_eval","period_support_count=14; depth_consistency=0.918; duration_consistency=0.958; validated cache-light-curve support"
"EPIC_211842439","15.93678195803659","14","4","0.9125872976904167","1.0","0.041570722428988106","1.0","0.8","0.6","0.8","pass_deeper_eval","period_support_count=14; depth_consistency=0.913; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211926132","16.723298121680273","14","6","0.9048062860875516","0.7692307692307692","0.07133085442295696","1.0","0.8","0.4","0.8","pass_deeper_eval","period_support_count=14; depth_consistency=0.905; duration_consistency=0.769; validated cache-light-curve support"
"EPIC_211748059","17.42822978276672","14","6","0.893396425832578","0.8095238095238095","0.18332551144272352","1.0","0.5","0.25","0.5","pass_deeper_eval","period_support_count=14; depth_consistency=0.893; duration_consistency=0.810; validated cache-light-curve support"
"EPIC_211955365","13.515559290237206","14","5","0.7186482147857511","0.75","0.10336993334055868","1.0","0.6","0.2","0.6","pass_deeper_eval","period_support_count=14; depth_consistency=0.719; duration_consistency=0.750; validated cache-light-curve support"
"EPIC_212001099","16.325087564604473","13","5","0.9872136877524216","0.75","0.05804715218023408","1.0","0.4","0.2","0.4","pass_deeper_eval","period_support_count=13; depth_consistency=0.987; duration_consistency=0.750; validated cache-light-curve support"
"EPIC_211813858","14.53720362356762","13","7","0.8271792056313673","0.8571428571428571","0.45226262939721484","1.0","0.6","0.6","0.6","pass_deeper_eval","period_support_count=13; depth_consistency=0.827; duration_consistency=0.857; validated cache-light-curve support"
"EPIC_211988531","14.496263978912111","13","5","0.7404849623190014","0.9583333333333334","0.1847461582127066","1.0","1.0","0.6","1.0","pass_deeper_eval","period_support_count=13; depth_consistency=0.740; duration_consistency=0.958; validated cache-light-curve support"
"EPIC_211954033","11.441882991133753","12","6","0.8382519101349952","0.9777777777777777","0.3088052918119291","1.0","1.0","0.5","1.0","pass_deeper_eval","period_support_count=12; depth_consistency=0.838; duration_consistency=0.978; validated cache-light-curve support"
"EPIC_211520800","15.569002305841423","12","3","0.7697397612091472","0.875","0.5724138268457291","1.0","0.4","0.4","0.4","pass_deeper_eval","period_support_count=12; depth_consistency=0.770; duration_consistency=0.875; validated cache-light-curve support"
"EPIC_211887206","16.447552240118966","12","6","0.7496720298217943","0.5909090909090909","0.6119158456281801","1.0","0.75","0.25","0.75","pass_deeper_eval","period_support_count=12; depth_consistency=0.750; duration_consistency=0.591; validated cache-light-curve support"
"EPIC_211878672","10.716529819124844","12","5","0.702255420152783","1.0","0.4644882221400456","1.0","0.2857142857142857","0.14285714285714285","0.2857142857142857","pass_deeper_eval","period_support_count=12; depth_consistency=0.702; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211425098","12.238654773791268","12","9","0.6942596401724904","0.5499999999999999","0.0007860988334796922","1.0","1.0","0.8333333333333334","1.0","pass_deeper_eval","period_support_count=12; depth_consistency=0.694; duration_consistency=0.550; validated cache-light-curve support"
"EPIC_211552564","18.53167560711927","12","4","0.6805579546258204","0.793103448275862","0.640682887058847","1.0","0.75","0.5","0.75","pass_deeper_eval","period_support_count=12; depth_consistency=0.681; duration_consistency=0.793; validated cache-light-curve support"
"EPIC_211569204","14.659857875562466","11","4","0.8743804446671559","0.7941176470588235","0.3956460734262026","1.0","0.4","0.2","0.4","pass_deeper_eval","period_support_count=11; depth_consistency=0.874; duration_consistency=0.794; validated cache-light-curve support"
"EPIC_211511562","17.499746383455204","11","4","0.764320721446767","0.7631578947368421","0.616702575084241","1.0","0.25","0.25","0.25","pass_deeper_eval","period_support_count=11; depth_consistency=0.764; duration_consistency=0.763; validated cache-light-curve support"
