"epic_id","promote_tier","n_events_long_good","n_events_ge_10_cadences","max_shape_score","spike_fraction_2cadence","depth_ratio","stage_r_reason","events_csv","events_csv_available","n_events_raw","n_events_after_filters","best_period_days","period_support_count","event_family_count","folded_depth_consistency","duration_consistency","odd_even_depth_delta","period_search_reason","cluster_center_phase","n_predicted","n_covered","coverage_rate","hit_rate_snr","hit_rate_shape","soft_hit_rate","cache_hits","cache_misses","downloads_done","validations_run","stage_d_label","stage_d_reason"
"EPIC_211889692","Tier_A","15","20","0.8757310614371051","0.0384615384615384","15.30623744286524","promote: 15 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.038","plots\k2_batch\epics\EPIC_211889692\events.csv","True","26","26","17.673423499920546","21","5","0.8911991813361217","0.7916666666666667","0.05077313869057715","validated","0.17212610167409667","4","4","1.0","1.0","0.75","1.0","1","0","0","3","pass_deeper_eval","period_support_count=21; depth_consistency=0.891; duration_consistency=0.792; validated cache-light-curve support"
"EPIC_211534076","Tier_A","13","20","0.855307609270227","0.2631578947368421","27.17586940955213","promote: 13 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.263","plots\k2_batch\epics\EPIC_211534076\events.csv","True","38","38","15.221580048255191","16","5","0.8115918451248266","0.9565217391304348","0.1429201407325919","validated","0.07958268531314687","4","4","1.0","0.5","0.5","0.5","1","0","0","3","pass_deeper_eval","period_support_count=16; depth_consistency=0.812; duration_consistency=0.957; validated cache-light-curve support"
"EPIC_211551640","Tier_A","13","15","0.8242570296708012","0.21875","48.44970506185607","promote: 13 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.219","plots\k2_batch\epics\EPIC_211551640\events.csv","True","32","32","10.563287809098483","21","7","0.9359130232369672","1.0","0.36789199878939416","validated","0.5077591821436135","7","7","1.0","1.0","0.5714285714285714","1.0","1","0","0","3","pass_deeper_eval","period_support_count=21; depth_consistency=0.936; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211878672","Tier_A","12","23","0.8853581922368572","0.2424242424242424","25.93119712533738","promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.242","plots\k2_batch\epics\EPIC_211878672\events.csv","True","33","33","10.716529819124844","12","5","0.702255420152783","1.0","0.4644882221400456","validated","0.41326899214446655","7","7","1.0","0.2857142857142857","0.14285714285714285","0.2857142857142857","1","0","0","3","pass_deeper_eval","period_support_count=12; depth_consistency=0.702; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211569204","Tier_A","12","17","0.8369947403705666","0.08","52.17645309942983","promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.080","plots\k2_batch\epics\EPIC_211569204\events.csv","True","25","25","14.659857875562466","11","4","0.8743804446671559","0.7941176470588235","0.3956460734262026","validated","0.44402263144574666","5","5","1.0","0.4","0.2","0.4","1","0","0","3","pass_deeper_eval","period_support_count=11; depth_consistency=0.874; duration_consistency=0.794; validated cache-light-curve support"
"EPIC_211954033","Tier_A","11","19","0.8636341031574459","0.2307692307692307","18.475595204680264","promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.231","plots\k2_batch\epics\EPIC_211954033\events.csv","True","26","26","11.441882991133753","12","6","0.8382519101349952","0.9777777777777777","0.3088052918119291","validated","0.8028389957965737","6","6","1.0","1.0","0.5","1.0","1","0","0","3","pass_deeper_eval","period_support_count=12; depth_consistency=0.838; duration_consistency=0.978; validated cache-light-curve support"
"EPIC_211813858","Tier_A","11","22","0.8361442733286226","0.1388888888888889","12.78462599703723","promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.139","plots\k2_batch\epics\EPIC_211813858\events.csv","True","36","36","14.53720362356762","13","7","0.8271792056313673","0.8571428571428571","0.45226262939721484","validated","0.13902398714461647","5","5","1.0","0.6","0.6","0.6","1","0","0","3","pass_deeper_eval","period_support_count=13; depth_consistency=0.827; duration_consistency=0.857; validated cache-light-curve support"
"EPIC_211490307","Tier_A","11","16","0.8194936608105479","0.1935483870967742","29.87992459434132","promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.194","plots\k2_batch\epics\EPIC_211490307\events.csv","True","31","31","12.80064960272307","18","6","0.8415847679803974","0.6136363636363635","0.37646886694435133","validated","0.04225474898853493","6","6","1.0","0.6666666666666666","0.5","0.6666666666666666","1","0","0","3","pass_deeper_eval","period_support_count=18; depth_consistency=0.842; duration_consistency=0.614; validated cache-light-curve support"
"EPIC_211530033","Tier_A","11","16","0.808978002365144","0.1153846153846153","24.42796091623582","promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.115","plots\k2_batch\epics\EPIC_211530033\events.csv","True","26","26","15.50762230141845","10","6","0.9093175626572692","0.9361702127659575","0.19647611542028046","validated","0.9839624505851531","5","5","1.0","1.0","0.6","1.0","1","0","0","3","pass_deeper_eval","period_support_count=10; depth_consistency=0.909; duration_consistency=0.936; validated cache-light-curve support"
"EPIC_211520800","Tier_A","10","19","0.8973373962480496","0.0769230769230769","20.72443224000781","promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.077","plots\k2_batch\epics\EPIC_211520800\events.csv","True","26","26","15.569002305841423","12","3","0.7697397612091472","0.875","0.5724138268457291","validated","0.22277238348692227","5","5","1.0","0.4","0.4","0.4","1","0","0","3","pass_deeper_eval","period_support_count=12; depth_consistency=0.770; duration_consistency=0.875; validated cache-light-curve support"
