epic_id,best_period_days,period_support_count,folded_depth_consistency,duration_consistency,odd_even_depth_delta,folded_plot_path,event_overlay_path,odd_even_plot_path,summary_json_path
EPIC_211551640,10.563287809098483,21,0.9359130232369672,1.0,0.3678919987893941,plots\k2_batch\stage_d_top10\EPIC_211551640\EPIC_211551640_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211551640\EPIC_211551640_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211551640\EPIC_211551640_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211551640\EPIC_211551640_summary.json
EPIC_211889692,17.673423499920546,21,0.8911991813361217,0.7916666666666667,0.0507731386905771,plots\k2_batch\stage_d_top10\EPIC_211889692\EPIC_211889692_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211889692\EPIC_211889692_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211889692\EPIC_211889692_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211889692\EPIC_211889692_summary.json
EPIC_211555255,9.929781530910986,20,0.8711994527517155,0.5555555555555556,0.1677492974100996,plots\k2_batch\stage_d_top10\EPIC_211555255\EPIC_211555255_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211555255\EPIC_211555255_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211555255\EPIC_211555255_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211555255\EPIC_211555255_summary.json
EPIC_211972200,18.91986675386579,19,0.9698031883868607,1.0,0.2261630657356436,plots\k2_batch\stage_d_top10\EPIC_211972200\EPIC_211972200_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211972200\EPIC_211972200_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211972200\EPIC_211972200_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211972200\EPIC_211972200_summary.json
EPIC_211490307,12.80064960272307,18,0.8415847679803974,0.6136363636363635,0.3764688669443513,plots\k2_batch\stage_d_top10\EPIC_211490307\EPIC_211490307_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211490307\EPIC_211490307_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211490307\EPIC_211490307_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211490307\EPIC_211490307_summary.json
EPIC_212003686,12.44296006046352,18,0.6857651227953394,0.8958333333333334,0.5786311010728846,plots\k2_batch\stage_d_top10\EPIC_212003686\EPIC_212003686_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_212003686\EPIC_212003686_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_212003686\EPIC_212003686_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_212003686\EPIC_212003686_summary.json
EPIC_211534076,15.221580048255191,16,0.8115918451248266,0.9565217391304348,0.1429201407325919,plots\k2_batch\stage_d_top10\EPIC_211534076\EPIC_211534076_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211534076\EPIC_211534076_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211534076\EPIC_211534076_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211534076\EPIC_211534076_summary.json
EPIC_211554121,14.057024791287404,15,0.8604473744226185,0.6666666666666666,0.4889995714486745,plots\k2_batch\stage_d_top10\EPIC_211554121\EPIC_211554121_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211554121\EPIC_211554121_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211554121\EPIC_211554121_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211554121\EPIC_211554121_summary.json
EPIC_211739276,19.164904292916617,15,0.8011001742617926,0.6666666666666666,0.4891783041162653,plots\k2_batch\stage_d_top10\EPIC_211739276\EPIC_211739276_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211739276\EPIC_211739276_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211739276\EPIC_211739276_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211739276\EPIC_211739276_summary.json
EPIC_211563576,17.142289455598302,15,0.6906327801428302,1.0,0.3693215454985175,plots\k2_batch\stage_d_top10\EPIC_211563576\EPIC_211563576_folded_period.png,plots\k2_batch\stage_d_top10\EPIC_211563576\EPIC_211563576_event_overlay.png,plots\k2_batch\stage_d_top10\EPIC_211563576\EPIC_211563576_odd_even.png,plots\k2_batch\stage_d_top10\EPIC_211563576\EPIC_211563576_summary.json
