"epic_id","best_period_days","period_support_count","visual_label","summary_json_path","stage_d_rank_order","event_family_count","folded_depth_consistency","duration_consistency","odd_even_depth_delta","coverage_rate","hit_rate_snr","hit_rate_shape","soft_hit_rate","stage_d_label","stage_d_reason"
"EPIC_211926132","16.723298121680273","14","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211926132\EPIC_211926132_summary.json","14","6","0.9048062860875516","0.7692307692307692","0.0713308544229569","1.0","0.8","0.4","0.8","pass_deeper_eval","period_support_count=14; depth_consistency=0.905; duration_consistency=0.769; validated cache-light-curve support"
"EPIC_212001099","16.325087564604473","13","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_212001099\EPIC_212001099_summary.json","17","5","0.9872136877524216","0.75","0.058047152180234","1.0","0.4","0.2","0.4","pass_deeper_eval","period_support_count=13; depth_consistency=0.987; duration_consistency=0.750; validated cache-light-curve support"
"EPIC_211988531","14.496263978912111","13","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211988531\EPIC_211988531_summary.json","19","5","0.7404849623190014","0.9583333333333334","0.1847461582127066","1.0","1.0","0.6","1.0","pass_deeper_eval","period_support_count=13; depth_consistency=0.740; duration_consistency=0.958; validated cache-light-curve support"
"EPIC_211954033","11.441882991133753","12","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211954033\EPIC_211954033_summary.json","20","6","0.8382519101349952","0.9777777777777776","0.3088052918119291","1.0","1.0","0.5","1.0","pass_deeper_eval","period_support_count=12; depth_consistency=0.838; duration_consistency=0.978; validated cache-light-curve support"
"EPIC_211748059","17.42822978276672","14","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211748059\EPIC_211748059_summary.json","15","6","0.893396425832578","0.8095238095238095","0.1833255114427235","1.0","0.5","0.25","0.5","pass_deeper_eval","period_support_count=14; depth_consistency=0.893; duration_consistency=0.810; validated cache-light-curve support"
"EPIC_211955365","13.515559290237206","14","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211955365\EPIC_211955365_summary.json","16","5","0.7186482147857511","0.75","0.1033699333405586","1.0","0.6","0.2","0.6","pass_deeper_eval","period_support_count=14; depth_consistency=0.719; duration_consistency=0.750; validated cache-light-curve support"
"EPIC_211813858","14.53720362356762","13","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211813858\EPIC_211813858_summary.json","18","7","0.8271792056313673","0.8571428571428571","0.4522626293972148","1.0","0.6","0.6","0.6","pass_deeper_eval","period_support_count=13; depth_consistency=0.827; duration_consistency=0.857; validated cache-light-curve support"
"EPIC_211520800","15.569002305841424","12","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211520800\EPIC_211520800_summary.json","21","3","0.7697397612091472","0.875","0.5724138268457291","1.0","0.4","0.4","0.4","pass_deeper_eval","period_support_count=12; depth_consistency=0.770; duration_consistency=0.875; validated cache-light-curve support"
"EPIC_211887206","16.447552240118966","12","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211887206\EPIC_211887206_summary.json","22","6","0.7496720298217943","0.5909090909090909","0.6119158456281801","1.0","0.75","0.25","0.75","pass_deeper_eval","period_support_count=12; depth_consistency=0.750; duration_consistency=0.591; validated cache-light-curve support"
"EPIC_211878672","10.716529819124844","12","visual_planet_like_candidate","plots\k2_batch\stage_f_next10_batch2_input_summaries\EPIC_211878672\EPIC_211878672_summary.json","23","5","0.702255420152783","1.0","0.4644882221400456","1.0","0.2857142857142857","0.1428571428571428","0.2857142857142857","pass_deeper_eval","period_support_count=12; depth_consistency=0.702; duration_consistency=1.000; validated cache-light-curve support"
