"epic_id","stage_d_rank_order","best_period_days","period_support_count","folded_depth_consistency","duration_consistency","stage_f_label","stage_f_reason","stage_h_label","visual_label","final_candidate_status","manual_review_class","real_signal_class","visual_notes","reviewer","reviewed_at","contamination_risk","contamination_notes","known_planet_catalog_match_count","known_planet_candidate_match_count","known_eb_or_variable_match_count","primary_depth","primary_depth_snr","transit_duration_hours","radius_ratio_sqrt_depth","secondary_to_primary_depth_ratio","odd_even_depth_ratio","odd_even_depth_delta_explicit","oot_variability_to_depth","alias_risk","recommended_next_action","stage_h_notes","phase_0_folded_path","phase_05_secondary_check_path","alias_period_comparison_path","odd_even_zoom_path","validation_summary_json_path","evidence_json"
"EPIC_211551640","1","10.563287809098483","21","0.9359130232369672","1.0","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.0066345877500112","525.8469996140429","12.259006758977193","0.08145297876696223","0.0","0.7183331721815095","0.36789199878939416","1.1288676376718279","low","exclude from novel planet queue after manual visual review","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_211551640\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211551640\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211551640\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211551640\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211551640\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_211555255","2","9.929781530910986","20","0.8711994527517155","0.5555555555555556","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","visual_reject_noise_or_variability","reject_manual_false_positive","manual_false_positive_noise_or_variability","","Folded transit not clean; aliases show similar structure; OOT variability dominates. Likely stellar/systematic false positive.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.0006096581632937","28.196406173295912","5.393957808322737","0.024691256818835692","0.15741745098345855","0.8371162580222444","0.17020491701801838","1.8896751893774928","low","exclude from novel planet queue after manual visual review","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_211555255\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211555255\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211555255\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211555255\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211555255\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_211972200","3","18.91986675386579","19","0.9698031883868607","1.0","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","visual_reject_eclipsing_binary","reject_as_planet_binary_system","real_nonplanet_eclipsing_binary","eclipsing_binary_or_stellar_companion","Strong coherent repeating astrophysical signal with deep eclipses, long duration, odd/even asymmetry, and secondary-phase structure. Real system, likely EB, not planet.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.017693350206694","851.7955448069436","13.730105120397639","0.13301635315514404","0.0","0.7775953093438829","0.22616306573564363","0.9276405039729682","low","exclude from novel planet queue; retain separately as real nonplanet eclipsing-binary/stellar system","Strong coherent repeating astrophysical signal with deep eclipses (~1.77%), large duration (~13.7 hr), notable odd/even asymmetry, and suspicious secondary-phase structure. Real variable system but inconsistent with standard exoplanet transit. Likely detached or grazing eclipsing binary / stellar companion.","plots\k2_batch\stage_f_next10\EPIC_211972200\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211972200\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211972200\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211972200\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211972200\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_211490307","4","12.80064960272307","18","0.8415847679803974","0.6136363636363635","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.0029297446021355504","18.355230915068795","6.619887911161641","0.05412711522089045","0.0","0.7507953986518883","0.2794457748987067","0.5805066605844216","low","exclude from novel planet queue after manual visual review","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_211490307\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211490307\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211490307\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211490307\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211490307\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_212003686","5","12.44296006046352","18","0.6857651227953394","0.8958333333333334","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.00256682002770625","20.02103413557473","11.278262630745303","0.05066379405163267","0.0","0.9213421641651903","0.08187800934352155","1.3344346863194905","low","exclude from novel planet queue after manual visual review","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_212003686\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_212003686\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_212003686\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_212003686\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_212003686\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_211554121","6","14.057024791287404","15","0.8604473744226185","0.6666666666666666","stage_f_hold","ambiguous follow-up checks: odd_even_ratio=0.318 alias_risk=low oot_to_depth=0.765","new_candidate_needs_external_check","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.000233016297385","5.7818086526925985","1.7162711749551818","0.015264871351734348","0.0","0.3176703098618261","1.384633697151172","0.7646042684352079","low","exclude from novel planet queue after manual visual review","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_211554121\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211554121\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211554121\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211554121\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211554121\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_211739276","7","19.164904292916617","15","0.8011001742617926","0.6666666666666666","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.00029442408895115","8.641648426216275","3.9228736616496453","0.01715879042797452","0.0","0.755474279863738","0.26350423761492886","0.7332200794010014","low","exclude from novel planet queue after manual visual review","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_211739276\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211739276\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211739276\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211739276\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211739276\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_211563576","8","17.142289455598302","15","0.6906327801428302","1.0","stage_f_hold","ambiguous follow-up checks: odd_even_ratio=0.521 alias_risk=low oot_to_depth=0.938","new_candidate_needs_external_check","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.0002321191566043","5.176813417034204","0.4903604169376176","0.01523545721677889","0.0","0.5214121644395442","0.5843822332973503","0.9375752531742413","low","exclude from novel planet queue after manual visual review","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_211563576\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211563576\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211563576\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211563576\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211563576\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_211525754","9","13.198848621046864","14","0.9184157767190644","0.9583333333333334","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.00133446046163105","65.85013986042081","12.504193601111183","0.036530267746500984","0.0","0.8395416307770946","0.1776629394856127","0.6593346410125313","low","exclude from novel planet queue after manual visual review","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_211525754\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211525754\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211525754\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211525754\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211525754\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
"EPIC_211842439","10","15.93678195803659","14","0.9125872976904168","1.0","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","visual_possible_candidate_low_priority","hold_low_priority_candidate","low_priority_candidate_hold","","Metrics clean and odd/even strong, but morphology is shallow/rounded and visually not compelling. Keep as secondary-tier possible candidate.","OC","2026-04-30","low","No Campaign 5 target within 60 arcsec in local target list.","0","0","0","0.0007679253799241","66.69039912441387","12.749398386018584","0.027711466578369686","0.0","0.9592757459026169","0.041570722428988106","0.0","low","retain as secondary-tier possible novel candidate; defer behind higher-priority targets","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\stage_f_next10\EPIC_211842439\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211842439\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211842439\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211842439\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211842439\validation_summary.json","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}"
