"epic_id","stage_d_rank_order","best_period_days","period_support_count","folded_depth_consistency","duration_consistency","stage_f_label","stage_f_reason","stage_h_label","final_candidate_status","known_planet_catalog_match_count","known_planet_candidate_match_count","known_eb_or_variable_match_count","ra_deg","dec_deg","k2_magnitude","investigation_ids","nearby_sources_within_60_arcsec","nearby_sources_within_120_arcsec","nearest_neighbor_epic_id","nearest_neighbor_sep_arcsec","nearest_neighbor_mag","nearest_neighbor_delta_mag","contamination_risk","contamination_notes","recommended_next_action","stage_h_notes","local_catalogs_checked","evidence_json","review_confidence"
"EPIC_211551640","1","10.563287809098483","21","0.9359130232369672","1.0","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
"EPIC_211555255","2","9.929781530910986","20","0.8711994527517155","0.5555555555555556","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
"EPIC_211972200","3","18.91986675386579","19","0.9698031883868607","1.0","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","reject_as_planet_binary_system","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","exclude from novel planet queue; treat as visual EB/stellar-companion rejection","Strong coherent repeating astrophysical signal with deep eclipses (~1.77%), large duration (~13.7 hr), notable odd/even asymmetry, and suspicious secondary-phase structure. Real variable system but inconsistent with standard exoplanet transit. Likely detached or grazing eclipsing binary / stellar companion.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}","high"
"EPIC_211490307","4","12.80064960272307","18","0.8415847679803974","0.6136363636363635","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
"EPIC_212003686","5","12.44296006046352","18","0.6857651227953394","0.8958333333333334","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
"EPIC_211554121","6","14.057024791287404","15","0.8604473744226185","0.6666666666666666","stage_f_hold","ambiguous follow-up checks: odd_even_ratio=0.318 alias_risk=low oot_to_depth=0.765","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
"EPIC_211739276","7","19.164904292916617","15","0.8011001742617926","0.6666666666666666","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
"EPIC_211563576","8","17.142289455598302","15","0.6906327801428302","1.0","stage_f_hold","ambiguous follow-up checks: odd_even_ratio=0.521 alias_risk=low oot_to_depth=0.938","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
"EPIC_211525754","9","13.198848621046864","14","0.9184157767190644","0.9583333333333334","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
"EPIC_211842439","10","15.93678195803659","14","0.9125872976904168","1.0","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","new_candidate_needs_external_check","new_candidate_needs_external_check","0","0","0","","","","","0","0","","","","","low","No Campaign 5 target within 60 arcsec in local target list.","external archive/name-resolution check required before claiming new discovery","No local known planet/candidate/EB match; manual external archive check still required.","plots\k2_batch\nasa_confirmed_k2_planets_reference.csv;CombinedExoplanetData.csv;Cut_CombinedExoplanetData.csv;K2_ephemerides.csv;binary_star_classification_results.csv;data\k2_target_lists\K2Campaign5targets.csv","{""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": []}",""
