stage_q_review_rank,stage_q_selection_bucket,epic_id,query,new_execution_order,current_policy_label,current_policy_label_reason,stage_o_decision_tier,stage_o_risk_class,stage_o_composite_stability_score,stage_o_autocorr_band,stage_o_step_band,stage_o_n_points_band,stage_o_n_events_support_band,stage_o_decision_reason,triage_status,triage_n_points,triage_step_score,triage_whiteness_statistic_abs_rho,triage_whiteness_underflowed,triage_whiteness_log10_pvalue,triage_whiteness_z,triage_whiteness_mode,triage_whiteness_definition,n_events,best_shape_score,best_depth_snr,n_periods_proposed,n_periods_validated,planned_best_depth_snr,planned_n_events,planned_n_periods_proposed,saved_triage_whiteness_pvalue,saved_triage_step_score,saved_triage_score_global,period_source_reason,period_terminal_reason,epic_dir,events_csv,best_hits_csv,best_misses_csv,best_uncovered_csv,best_hitmap_png,best_phase_offset_png,stage_q_review_action,stage_q_downstream_followup,stage_q_promotion_evidence_required,stage_q_falsification_flags
1,top12_composite_score_best_chance,EPIC_211529255,EPIC 211529255,89,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.89459494045972,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3098,0.0009034719389167,0.9999974805066674,True,-674.3452860528596,55.65055610034779,pvalue,lag1_autocorr_pvalue_normal_approx,18,0.7693604087485955,38.72055725262502,0,0,38.72055725262502,18.0,0.0,0.9999974805066674,0.0009034719389167,-0.6666624675111124,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211529255,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211529255\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
2,top12_composite_score_best_chance,EPIC_212007631,EPIC 212007631,19,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.816821420511452,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,2952,0.0015701021099018,0.9999949729230524,True,-642.6282547528276,54.32283433572324,pvalue,lag1_autocorr_pvalue_normal_approx,44,0.7534595561433114,37.61608876961759,0,0,37.61608876961759,44.0,0.0,0.9999949729230524,0.0015701021099018,-0.6666582882050875,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212007631,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212007631\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
3,top12_composite_score_best_chance,EPIC_211805106,EPIC 211805106,18,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.797118859976944,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3283,0.0017389812001976,0.9999931957691012,True,-714.523804894131,57.28835254377917,pvalue,lag1_autocorr_pvalue_normal_approx,44,0.7130476352203537,37.83221000985826,0,0,37.83221000985826,44.0,0.0,0.9999931957691012,0.0017389812001976,-0.6666553262818353,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211805106,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211805106\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
4,top12_composite_score_best_chance,EPIC_211759736,EPIC 211759736,1,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.668572058391685,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3164,0.0028408109280712,0.9999793084264846,True,-688.656537708823,56.23939105698205,pvalue,lag1_autocorr_pvalue_normal_approx,29,0.7202123912727099,194.9770682789342,0,0,194.9770682789342,29.0,0.0,0.9999793084264846,0.0028408109280712,-0.6666321807108078,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211759736,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211759736\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
5,top12_composite_score_best_chance,EPIC_211698887,EPIC 211698887,46,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.559519849246072,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3064,0.0037755441493193,0.9999660561149604,True,-666.9181065279947,55.342497804936464,pvalue,lag1_autocorr_pvalue_normal_approx,23,0.719023905524616,48.194579208381946,0,0,48.194579208381946,23.0,0.0,0.9999660561149604,0.0037755441493193,-0.6666100935249342,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211698887,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211698887\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
6,top12_composite_score_best_chance,EPIC_212023491,EPIC 212023491,9,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.519388933440517,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3095,0.0041195234276527,0.9999510361485648,True,-673.6312111338167,55.62101238835065,pvalue,lag1_autocorr_pvalue_normal_approx,31,0.759540952399142,63.382624017399685,0,0,63.382624017399685,31.0,0.0,0.9999510361485648,0.0041195234276527,-0.6665850602476081,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212023491,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212023491\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
7,top12_composite_score_best_chance,EPIC_211324054,EPIC 211324054,72,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.479596104124894,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3044,0.0044606048217866,0.9999736674568864,True,-662.5840967759782,55.16194106675938,pvalue,lag1_autocorr_pvalue_normal_approx,21,0.7077405978050346,42.31907227694253,0,0,42.31907227694253,21.0,0.0,0.9999736674568864,0.0044606048217866,-0.6666227790948108,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211324054,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211324054\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
8,top12_composite_score_best_chance,EPIC_211394018,EPIC 211394018,59,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.41853680876678,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3146,0.0049839702105705,0.9999634262869416,True,-684.7251116457121,56.07824850645506,pvalue,lag1_autocorr_pvalue_normal_approx,32,0.7212178753325174,30.68597652760715,0,0,30.68597652760715,32.0,0.0,0.9999634262869416,0.0049839702105705,-0.666605710478236,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211394018,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211394018\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
9,top12_composite_score_best_chance,EPIC_211633247,EPIC 211633247,8,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.264723889553355,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3045,0.0063023666609712,0.9997779632887096,True,-662.5425316394642,55.16020658565177,pvalue,lag1_autocorr_pvalue_normal_approx,42,0.7483407970399947,70.24547531489925,0,0,70.24547531489925,42.0,0.0,0.9997779632887096,0.0063023666609712,-0.6662966054811827,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211633247,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211633247\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
10,top12_composite_score_best_chance,EPIC_211791780,EPIC 211791780,70,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.243061570262064,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3271,0.006488043683468,0.999906940240103,True,-711.7947520311374,57.17859230069294,pvalue,lag1_autocorr_pvalue_normal_approx,28,0.821541034646183,34.103427000592376,0,0,34.103427000592376,28.0,0.0,0.999906940240103,0.006488043683468,-0.6665115670668383,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211791780,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211791780\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
11,top12_composite_score_best_chance,EPIC_211945111,EPIC 211945111,36,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),review_high,high_risk,29.08583354140639,A2_severe,S0_low,N1_strong,E2_strong,A2_severe;S0_low;N1_strong;underflow_review_escalation;E2_strong_support_only,ok,3335,0.0078357125022309,0.9998728187612352,True,-725.6443802158815,57.73345658652002,pvalue,lag1_autocorr_pvalue_normal_approx,34,0.765203537425946,40.05990954043292,0,0,40.05990954043292,34.0,0.0,0.9998728187612352,0.0078357125022309,-0.6664546979353924,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211945111,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211945111\events.csv,,,,,,manual_review_existing_artifacts_first,deeper_evaluation_only_if_manual_review_promotes,coherent repeated event morphology; no obvious artifact/systematics explanation; reviewer accepts high-autocorr risk as non-fatal for this target,events align with known artifacts/systematics; no coherent transit-like morphology; review cannot distinguish signal from red-noise/autocorr structure
