epic_id,stage_r_label,stage_r_reason,n_events_total,n_events_ge_5_cadences,n_events_ge_10_cadences,n_events_shape_ge_071,n_events_shape_ge_074,n_events_long_good,max_shape_score,median_shape_score,max_duration_cadences,median_duration_cadences,depth_min,depth_max,depth_ratio,spike_fraction_2cadence,stage_r_policy_version,stage_r_needs_manual_review,stage_r_debug_json
EPIC_211324054,reject_as_noise_or_artifact,reject: dominated by 2-3 cadence spike events; no coherent long-duration event family (0 events meet duration>=10 and shape>=0.70); depth/duration are highly inconsistent (depth_ratio=21.5); n_events_total=21,21,2,0,0,0,0,0.7077405978050346,0.6712278192899609,7.0,2.0,3.0698723867628175e-05,0.0006615268941967,21.54900304811304,0.7142857142857143,stage_r_manual_calibration_v1,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":0,""n_events_ge_5_cadences"":2,""n_events_long_good"":0,""n_events_shape_ge_071"":0,""n_events_shape_ge_074"":0,""n_events_spike_le_2_cadences"":15,""n_events_spike_le_3_cadences"":17,""n_events_strong_ge5_shape_ge074"":0,""n_events_total"":21,""n_events_with_duration_or_shape"":21},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""spike_2cadence_dominant"":true,""spike_3cadence_dominant"":true},""metrics"":{""depth_max"":0.0006615268941967,""depth_min"":3.0698723867628175e-05,""depth_ratio"":21.54900304811304,""max_duration_cadences"":7.0,""max_shape_score"":0.7077405978050346,""median_duration_cadences"":2.0,""median_shape_score"":0.6712278192899609,""spike_fraction_2cadence"":0.7142857142857143,""spike_fraction_3cadence"":0.8095238095238095},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211394018,reject_as_noise_or_artifact,reject: dominated by 2-3 cadence spike events; no coherent long-duration event family (0 events meet duration>=10 and shape>=0.70); depth/duration are highly inconsistent (depth_ratio=17.9); n_events_total=32,32,3,0,1,0,0,0.7212178753325174,0.6562853865250702,8.0,2.0,9.064422243287852e-05,0.00162053957305,17.87802387791455,0.59375,stage_r_manual_calibration_v1,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":0,""n_events_ge_5_cadences"":3,""n_events_long_good"":0,""n_events_shape_ge_071"":1,""n_events_shape_ge_074"":0,""n_events_spike_le_2_cadences"":19,""n_events_spike_le_3_cadences"":24,""n_events_strong_ge5_shape_ge074"":0,""n_events_total"":32,""n_events_with_duration_or_shape"":32},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""spike_2cadence_dominant"":true,""spike_3cadence_dominant"":true},""metrics"":{""depth_max"":0.00162053957305,""depth_min"":9.064422243287852e-05,""depth_ratio"":17.87802387791455,""max_duration_cadences"":8.0,""max_shape_score"":0.7212178753325174,""median_duration_cadences"":2.0,""median_shape_score"":0.6562853865250702,""spike_fraction_2cadence"":0.59375,""spike_fraction_3cadence"":0.75},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211529255,hold_for_review,hold: exactly 1 strong event has duration_cadences>=5 and shape_score>=0.74; promote long-good count=0,18,1,0,2,1,0,0.7693604087485955,0.6758772664671204,6.0,2.0,3.492996779885793e-05,0.0003872055725262,11.08519695053541,0.6111111111111112,stage_r_manual_calibration_v1,True,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":0,""n_events_ge_5_cadences"":1,""n_events_long_good"":0,""n_events_shape_ge_071"":2,""n_events_shape_ge_074"":1,""n_events_spike_le_2_cadences"":11,""n_events_spike_le_3_cadences"":13,""n_events_strong_ge5_shape_ge074"":1,""n_events_total"":18,""n_events_with_duration_or_shape"":18},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":true,""promote_rule_passed"":false,""spike_2cadence_dominant"":true,""spike_3cadence_dominant"":true},""metrics"":{""depth_max"":0.0003872055725262,""depth_min"":3.492996779885793e-05,""depth_ratio"":11.08519695053541,""max_duration_cadences"":6.0,""max_shape_score"":0.7693604087485955,""median_duration_cadences"":2.0,""median_shape_score"":0.6758772664671204,""spike_fraction_2cadence"":0.6111111111111112,""spike_fraction_3cadence"":0.7222222222222222},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211633247,hold_for_review,hold: exactly 1 strong event has duration_cadences>=5 and shape_score>=0.74; promote long-good count=0,42,5,0,6,1,0,0.7483407970399947,0.6767410562556264,7.0,3.0,3.973843365856489e-05,0.0013771431679796,34.65519501377685,0.40476190476190477,stage_r_manual_calibration_v1,True,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":0,""n_events_ge_5_cadences"":5,""n_events_long_good"":0,""n_events_shape_ge_071"":6,""n_events_shape_ge_074"":1,""n_events_spike_le_2_cadences"":17,""n_events_spike_le_3_cadences"":26,""n_events_strong_ge5_shape_ge074"":1,""n_events_total"":42,""n_events_with_duration_or_shape"":42},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":true,""promote_rule_passed"":false,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0013771431679796,""depth_min"":3.973843365856489e-05,""depth_ratio"":34.65519501377685,""max_duration_cadences"":7.0,""max_shape_score"":0.7483407970399947,""median_duration_cadences"":3.0,""median_shape_score"":0.6767410562556264,""spike_fraction_2cadence"":0.40476190476190477,""spike_fraction_3cadence"":0.6190476190476191},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211698887,reject_as_noise_or_artifact,reject: dominated by 2-3 cadence spike events; no coherent long-duration event family (0 events meet duration>=10 and shape>=0.70); depth/duration are highly inconsistent (depth_ratio=11.5); n_events_total=23,23,0,0,3,0,0,0.719023905524616,0.6568916256805497,4.0,2.0,4.4922286116855226e-05,0.000514534033764,11.453870188742297,0.6086956521739131,stage_r_manual_calibration_v1,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":0,""n_events_ge_5_cadences"":0,""n_events_long_good"":0,""n_events_shape_ge_071"":3,""n_events_shape_ge_074"":0,""n_events_spike_le_2_cadences"":14,""n_events_spike_le_3_cadences"":21,""n_events_strong_ge5_shape_ge074"":0,""n_events_total"":23,""n_events_with_duration_or_shape"":23},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""spike_2cadence_dominant"":true,""spike_3cadence_dominant"":true},""metrics"":{""depth_max"":0.000514534033764,""depth_min"":4.4922286116855226e-05,""depth_ratio"":11.453870188742297,""max_duration_cadences"":4.0,""max_shape_score"":0.719023905524616,""median_duration_cadences"":2.0,""median_shape_score"":0.6568916256805497,""spike_fraction_2cadence"":0.6086956521739131,""spike_fraction_3cadence"":0.9130434782608695},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211759736,reject_as_noise_or_artifact,reject: no coherent long-duration event family (0 events meet duration>=10 and shape>=0.70); depth/duration are highly inconsistent (depth_ratio=42.2); n_events_total=29,29,8,1,2,0,0,0.7202123912727099,0.6348529779080404,10.0,3.0,4.62292982867929e-05,0.0019497706827893,42.17608216100316,0.3793103448275862,stage_r_manual_calibration_v1,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":1,""n_events_ge_5_cadences"":8,""n_events_long_good"":0,""n_events_shape_ge_071"":2,""n_events_shape_ge_074"":0,""n_events_spike_le_2_cadences"":11,""n_events_spike_le_3_cadences"":19,""n_events_strong_ge5_shape_ge074"":0,""n_events_total"":29,""n_events_with_duration_or_shape"":29},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0019497706827893,""depth_min"":4.62292982867929e-05,""depth_ratio"":42.17608216100316,""max_duration_cadences"":10.0,""max_shape_score"":0.7202123912727099,""median_duration_cadences"":3.0,""median_shape_score"":0.6348529779080404,""spike_fraction_2cadence"":0.3793103448275862,""spike_fraction_3cadence"":0.6551724137931034},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211791780,promote_to_deeper_eval,promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.107,28,23,13,13,9,9,0.821541034646183,0.6958296077601898,22.0,9.0,0.0001354769281363,0.003038560793849,22.428621874212993,0.10714285714285714,stage_r_manual_calibration_v1,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":10,""n_events_ge_10_cadences"":13,""n_events_ge_5_cadences"":23,""n_events_long_good"":9,""n_events_shape_ge_071"":13,""n_events_shape_ge_074"":9,""n_events_spike_le_2_cadences"":3,""n_events_spike_le_3_cadences"":4,""n_events_strong_ge5_shape_ge074"":9,""n_events_total"":28,""n_events_with_duration_or_shape"":28},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.003038560793849,""depth_min"":0.0001354769281363,""depth_ratio"":22.428621874212993,""max_duration_cadences"":22.0,""max_shape_score"":0.821541034646183,""median_duration_cadences"":9.0,""median_shape_score"":0.6958296077601898,""spike_fraction_2cadence"":0.10714285714285714,""spike_fraction_3cadence"":0.14285714285714285},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211805106,reject_as_noise_or_artifact,reject: dominated by 2-3 cadence spike events; no coherent long-duration event family (0 events meet duration>=10 and shape>=0.70); depth/duration are highly inconsistent (depth_ratio=21.2); n_events_total=44,44,1,0,3,0,0,0.7130476352203537,0.6656857052646694,5.0,2.0,3.539359023618793e-05,0.0007517955708566,21.24100905954242,0.5454545454545454,stage_r_manual_calibration_v1,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":0,""n_events_ge_5_cadences"":1,""n_events_long_good"":0,""n_events_shape_ge_071"":3,""n_events_shape_ge_074"":0,""n_events_spike_le_2_cadences"":24,""n_events_spike_le_3_cadences"":38,""n_events_strong_ge5_shape_ge074"":0,""n_events_total"":44,""n_events_with_duration_or_shape"":44},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""spike_2cadence_dominant"":true,""spike_3cadence_dominant"":true},""metrics"":{""depth_max"":0.0007517955708566,""depth_min"":3.539359023618793e-05,""depth_ratio"":21.24100905954242,""max_duration_cadences"":5.0,""max_shape_score"":0.7130476352203537,""median_duration_cadences"":2.0,""median_shape_score"":0.6656857052646694,""spike_fraction_2cadence"":0.5454545454545454,""spike_fraction_3cadence"":0.8636363636363636},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211836788,promote_to_deeper_eval,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.318,22,10,7,2,2,2,0.774629428400548,0.6378648316691905,24.0,4.0,3.391582401202076e-05,0.0011483073868236,33.85757003623459,0.3181818181818182,stage_r_manual_calibration_v1,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":4,""n_events_ge_10_cadences"":7,""n_events_ge_5_cadences"":10,""n_events_long_good"":2,""n_events_shape_ge_071"":2,""n_events_shape_ge_074"":2,""n_events_spike_le_2_cadences"":7,""n_events_spike_le_3_cadences"":10,""n_events_strong_ge5_shape_ge074"":2,""n_events_total"":22,""n_events_with_duration_or_shape"":22},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0011483073868236,""depth_min"":3.391582401202076e-05,""depth_ratio"":33.85757003623459,""max_duration_cadences"":24.0,""max_shape_score"":0.774629428400548,""median_duration_cadences"":4.0,""median_shape_score"":0.6378648316691905,""spike_fraction_2cadence"":0.3181818181818182,""spike_fraction_3cadence"":0.45454545454545453},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211945111,promote_to_deeper_eval,promote: 3 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.294,34,14,9,6,3,3,0.765203537425946,0.6391931107816675,22.0,4.0,2.9592714395509923e-05,0.0008571607626701,28.96526324736727,0.29411764705882354,stage_r_manual_calibration_v1,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":5,""n_events_ge_10_cadences"":9,""n_events_ge_5_cadences"":14,""n_events_long_good"":3,""n_events_shape_ge_071"":6,""n_events_shape_ge_074"":3,""n_events_spike_le_2_cadences"":10,""n_events_spike_le_3_cadences"":14,""n_events_strong_ge5_shape_ge074"":3,""n_events_total"":34,""n_events_with_duration_or_shape"":34},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0008571607626701,""depth_min"":2.9592714395509923e-05,""depth_ratio"":28.96526324736727,""max_duration_cadences"":22.0,""max_shape_score"":0.765203537425946,""median_duration_cadences"":4.0,""median_shape_score"":0.6391931107816675,""spike_fraction_2cadence"":0.29411764705882354,""spike_fraction_3cadence"":0.4117647058823529},""policy_version"":""stage_r_manual_calibration_v1"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
