stage_r2_review_rank,stage_q_review_rank,selection_bucket,epic_id,query,new_execution_order,current_policy_label,current_policy_label_reason,stage_o_composite_stability_score,stage_o_risk_class,stage_o_decision_tier,stage_o_autocorr_band,stage_o_step_band,stage_o_n_points_band,stage_o_n_events_support_band,triage_step_score,triage_whiteness_statistic_abs_rho,triage_whiteness_underflowed,triage_n_points,n_events,best_depth_snr,best_shape_score,n_periods_proposed,n_periods_validated,period_source_reason,period_terminal_reason,events_csv,events_csv_exists,epic_dir,epic_dir_exists,reviewer_outcome,reviewer_outcome_allowed_values,reviewer_confidence,repeated_event_morphology,timing_coherence,obvious_artifact_or_contamination,notes,promote_to_deeper_eval
1,1,top12_composite_score_best_chance,EPIC_211529255,EPIC 211529255,89,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.89459494045972,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0009034719389167,0.9999974805066674,True,3098,18,38.72055725262502,0.7693604087485955,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211529255\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211529255,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
2,2,top12_composite_score_best_chance,EPIC_212007631,EPIC 212007631,19,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.816821420511452,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0015701021099018,0.9999949729230524,True,2952,44,37.61608876961759,0.7534595561433114,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212007631\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212007631,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
3,3,top12_composite_score_best_chance,EPIC_211805106,EPIC 211805106,18,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.797118859976944,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0017389812001976,0.9999931957691012,True,3283,44,37.83221000985826,0.7130476352203537,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211805106\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211805106,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
4,4,top12_composite_score_best_chance,EPIC_211759736,EPIC 211759736,1,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.668572058391685,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0028408109280712,0.9999793084264846,True,3164,29,194.9770682789342,0.7202123912727099,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211759736\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211759736,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
5,5,top12_composite_score_best_chance,EPIC_211698887,EPIC 211698887,46,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.559519849246072,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0037755441493193,0.9999660561149604,True,3064,23,48.194579208381946,0.719023905524616,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211698887\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211698887,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
6,6,top12_composite_score_best_chance,EPIC_212023491,EPIC 212023491,9,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.519388933440517,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0041195234276527,0.9999510361485648,True,3095,31,63.382624017399685,0.759540952399142,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212023491\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212023491,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
7,7,top12_composite_score_best_chance,EPIC_211324054,EPIC 211324054,72,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.479596104124894,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0044606048217866,0.9999736674568864,True,3044,21,42.31907227694253,0.7077405978050346,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211324054\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211324054,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
8,8,top12_composite_score_best_chance,EPIC_211394018,EPIC 211394018,59,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.41853680876678,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0049839702105705,0.9999634262869416,True,3146,32,30.68597652760715,0.7212178753325174,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211394018\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211394018,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
9,9,top12_composite_score_best_chance,EPIC_211633247,EPIC 211633247,8,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.264723889553355,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0063023666609712,0.9997779632887096,True,3045,42,70.24547531489925,0.7483407970399947,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211633247\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211633247,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
10,10,top12_composite_score_best_chance,EPIC_211791780,EPIC 211791780,70,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.243061570262064,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.006488043683468,0.999906940240103,True,3271,28,34.103427000592376,0.821541034646183,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211791780\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211791780,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
11,11,top12_composite_score_best_chance,EPIC_211945111,EPIC 211945111,36,Noisy_trash,usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000),29.08583354140639,high_risk,review_high,A2_severe,S0_low,N1_strong,E2_strong,0.0078357125022309,0.9998728187612352,True,3335,34,40.05990954043292,0.765203537425946,0,0,not_in_period_stage_random_sample_n5000,other,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211945111\events.csv,True,plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211945111,True,,promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact,,,,,,
