"stage_q_review_rank","selection_bucket","epic_id","query","new_execution_order","current_policy_label","current_policy_label_reason","stage_o_composite_stability_score","stage_o_risk_class","stage_o_decision_tier","stage_o_autocorr_band","stage_o_step_band","stage_o_sufficiency_band","stage_o_event_support_band","triage_step_score","triage_whiteness_statistic_abs_rho","triage_whiteness_underflowed","triage_n_points","n_events","best_depth_snr","best_shape_score","n_periods_proposed","n_periods_validated","period_source_reason","period_terminal_reason","events_csv","events_csv_exists","epic_dir","epic_dir_exists","reviewer_outcome","reviewer_outcome_allowed_values","reviewer_confidence","repeated_event_morphology","timing_coherence","obvious_artifact_or_contamination","notes","promote_to_deeper_eval"
"1","highest_composite_score","EPIC_211529255","EPIC 211529255","89","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","29.89459494045972","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.0009034719389167","0.9999974805066674","True","3098","18","38.72055725262502","0.7693604087485955","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211529255\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211529255","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"2","highest_composite_score","EPIC_212007631","EPIC 212007631","19","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","29.81682142051145","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.0015701021099018","0.9999949729230524","True","2952","44","37.61608876961759","0.7534595561433114","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212007631\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212007631","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"3","highest_composite_score","EPIC_211805106","EPIC 211805106","18","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","29.797118859976944","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.0017389812001976","0.9999931957691012","True","3283","44","37.83221000985826","0.7130476352203537","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211805106\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211805106","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"4","highest_composite_score","EPIC_211759736","EPIC 211759736","1","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","29.668572058391685","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.0028408109280712","0.9999793084264846","True","3164","29","194.9770682789342","0.7202123912727099","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211759736\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211759736","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"5","lowest_composite_score","EPIC_211530033","EPIC 211530033","100","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","27.39926545078524","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.0222920104218408","0.9993472753575072","True","3047","26","181.6278274737959","0.808978002365144","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211530033\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211530033","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"6","lowest_composite_score","EPIC_212003686","EPIC 212003686","99","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","27.30997066386611","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.023057394309719","0.9992766968265848","True","3341","24","359.52524841896184","0.8425087591919436","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212003686\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_212003686","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"7","lowest_composite_score","EPIC_211972767","EPIC 211972767","68","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","27.03739295571318","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.0253937746653156","0.9984224099229984","True","3182","33","385.12869582548734","0.8169500641238717","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211972767\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211972767","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"8","lowest_composite_score","EPIC_211490307","EPIC 211490307","98","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","27.03737931139387","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.025393891616624","0.9993032765122116","True","3259","31","173.33166761794195","0.8194936608105479","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211490307\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211490307","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"9","median_composite_score","EPIC_211955365","EPIC 211955365","41","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","28.4771135968936","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.0130533120266263","0.9997157637288068","True","3168","24","105.4200211899059","0.7965873008763289","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211955365\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211955365","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
"10","median_composite_score","EPIC_211537297","EPIC 211537297","31","Noisy_trash","usable=False:whiteness_pvalue=0<0.01; whiteness_pvalue<0.010 (0.000)","28.468017971168823","high_risk","review_high","A2_severe","S0_low","N1_strong","E2_strong","0.0131312745328386","0.9996488999691489","True","3084","35","79.7232939854231","0.7983135201489309","0","0","not_in_period_stage_random_sample_n5000","other","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211537297\events.csv","True","plots\k2_batch\k2_stage_l_batch_001b_postpatch_run\epics\EPIC_211537297","True","","promote_to_deeper_eval|hold_review_high|reject_as_noise_or_artifact","","","","","",""
