"epic_id","selection_bucket","stage_o_composite_stability_score","reviewer_outcome","reviewer_confidence","repeated_event_morphology","timing_coherence","obvious_artifact_or_contamination","promote_to_deeper_eval","notes","stage_s_outcome_valid","stage_s_validation_issue"
"EPIC_211529255","highest_composite_score","29.89459494045972","","","","","","","","False","missing_reviewer_outcome"
"EPIC_212007631","highest_composite_score","29.81682142051145","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211805106","highest_composite_score","29.797118859976944","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211759736","highest_composite_score","29.668572058391685","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211530033","lowest_composite_score","27.39926545078524","","","","","","","","False","missing_reviewer_outcome"
"EPIC_212003686","lowest_composite_score","27.30997066386611","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211972767","lowest_composite_score","27.03739295571318","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211490307","lowest_composite_score","27.03737931139387","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211955365","median_composite_score","28.4771135968936","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211537297","median_composite_score","28.468017971168823","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211525754","median_composite_score","28.46076528288524","","","","","","","","False","missing_reviewer_outcome"
"EPIC_211421186","median_composite_score","28.457054720848607","","","","","","","","False","missing_reviewer_outcome"
