epic_id,selection_bucket,stage_o_composite_stability_score,n_events,best_depth_snr,best_shape_score,event_rows_read,event_time_span_days,event_depth_snr_median,event_depth_snr_max,event_shape_score_median,event_shape_score_max,event_duration_cadence_median,short_event_count_le_2_cadences,long_event_count_ge_20_cadences,close_gap_count_lt_0_25_days,median_event_gap_days,concise_events_summary,morphology_consistency_hint,timing_coherence_hint,artifact_risk_hint,missing_artifacts_note,suggested_review_focus,confidence_of_assist_note,opening_priority_score,opening_priority_reasons
EPIC_211529255,highest_composite_score,29.89459494045972,18,38.72055725262502,0.7693604087485955,18,70.959,8.676,38.721,0.676,0.769,2.000,11,0,0,1.083,18 event rows across 71.0 d; depth_snr median/max 8.7/38.7; shape median/max 0.68/0.77; duration median/range 2/2-6 cadences. Top events: t=2345.574 snr=38.7 shape=0.68 dur=3; t=2348.843 snr=28.8 shape=0.71 dur=2; t=2344.655 snr=24.5 shape=0.71 dur=2.,Mixed but usable morphology signal: median shape 0.68 with all rows ingress_egress_ok=True; inspect whether low-shape events are driving noise.,Events span 71.0 d with median gap 1.08 d and a large max gap 30.9 d; check whether timing is episodic rather than periodic.,"Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 11/18 events are <=2 cadences, so single/cadence-scale dips need close artifact review.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.",Start by checking whether the many short events are true repeated dips or cadence/single-point artifacts.,Medium-low: event-table coverage is smaller and visual artifacts are missing; review should be careful about overinterpreting the table.,-1,many very short events add artifact risk
EPIC_212007631,highest_composite_score,29.81682142051145,44,37.61608876961759,0.7534595561433114,44,72.512,13.022,37.616,0.660,0.753,3.000,20,0,3,0.838,44 event rows across 72.5 d; depth_snr median/max 13.0/37.6; shape median/max 0.66/0.75; duration median/range 3/2-7 cadences. Top events: t=2329.862 snr=37.6 shape=0.68 dur=3; t=2350.886 snr=33.2 shape=0.71 dur=2; t=2345.738 snr=29.4 shape=0.71 dur=2.,Mixed but usable morphology signal: median shape 0.66 with all rows ingress_egress_ok=True; inspect whether low-shape events are driving noise.,Events span 72.5 d with median gap 0.84 d and a large max gap 11.3 d; check whether timing is episodic rather than periodic.,"Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 20/44 events are <=2 cadences, so single/cadence-scale dips need close artifact review.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.",Start by checking whether the many short events are true repeated dips or cadence/single-point artifacts.,"Medium: event-table coverage is substantial, but missing visual artifacts still prevent a confident final read.",0,many event rows; many very short events add artifact risk
EPIC_211805106,highest_composite_score,29.797118859976944,44,37.83221000985826,0.7130476352203537,44,72.410,13.656,37.832,0.666,0.713,2.000,24,0,4,1.083,44 event rows across 72.4 d; depth_snr median/max 13.7/37.8; shape median/max 0.67/0.71; duration median/range 2/2-5 cadences. Top events: t=2326.695 snr=37.8 shape=0.68 dur=4; t=2322.752 snr=32.6 shape=0.68 dur=3; t=2324.734 snr=31.9 shape=0.71 dur=2.,Mixed but usable morphology signal: median shape 0.67 with all rows ingress_egress_ok=True; inspect whether low-shape events are driving noise.,"Events span 72.4 d with median gap 1.08 d, but 4 close pairs under 0.25 d suggest clustering/cadence checks are important.","Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 24/44 events are <=2 cadences, so single/cadence-scale dips need close artifact review. 4 close event pairs under 0.25 d raise clustering/systematic concerns.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.",Start by checking whether the many short events are true repeated dips or cadence/single-point artifacts.,"Medium: event-table coverage is substantial, but missing visual artifacts still prevent a confident final read.",0,many event rows; many very short events add artifact risk
EPIC_211759736,highest_composite_score,29.668572058391685,29,194.9770682789342,0.7202123912727099,29,71.184,12.423,194.977,0.635,0.720,3.000,11,0,2,1.042,29 event rows across 71.2 d; depth_snr median/max 12.4/195.0; shape median/max 0.63/0.72; duration median/range 3/2-10 cadences. Top events: t=2335.848 snr=195.0 shape=0.70 dur=9; t=2372.421 snr=187.3 shape=0.70 dur=10; t=2327.410 snr=43.6 shape=0.66 dur=7.,Morphology is mixed: median shape 0.63 and shape range 0.48-0.72; use event table to separate strongest events from weak tails.,Events span 71.2 d with median gap 1.04 d and a large max gap 14.2 d; check whether timing is episodic rather than periodic.,"Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.","Start with the top-SNR events, then verify whether lower-SNR events repeat the same morphology and timing pattern.","Medium-low: events.csv is available and informative, but visual hitmap/phase-offset artifacts are missing, so the assist note should not be treated as a final review.",2,very high top depth_snr
EPIC_211530033,lowest_composite_score,27.39926545078524,26,181.6278274737959,0.808978002365144,26,73.493,11.530,181.628,0.724,0.809,17.000,3,10,5,3.310,26 event rows across 73.5 d; depth_snr median/max 11.5/181.6; shape median/max 0.72/0.81; duration median/range 17/2-24 cadences. Top events: t=2349.537 snr=181.6 shape=0.75 dur=24; t=2333.662 snr=119.8 shape=0.79 dur=24; t=2318.114 snr=106.5 shape=0.81 dur=24.,"Event-table morphology looks comparatively coherent: median shape 0.72, all 26 rows have ingress_egress_ok=True. Still verify visually.","Events span 73.5 d with median gap 3.31 d, but 5 close pairs under 0.25 d suggest clustering/cadence checks are important.","Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 5 close event pairs under 0.25 d raise clustering/systematic concerns.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.","Start with the top-SNR events, then verify whether lower-SNR events repeat the same morphology and timing pattern.","Medium-low: events.csv is available and informative, but visual hitmap/phase-offset artifacts are missing, so the assist note should not be treated as a final review.",3,very high top depth_snr; higher median shape score; close-pair clustering adds artifact risk
EPIC_212003686,lowest_composite_score,27.30997066386611,24,359.52524841896184,0.8425087591919436,24,73.554,33.929,359.525,0.692,0.843,21.000,1,15,4,4.086,24 event rows across 73.6 d; depth_snr median/max 33.9/359.5; shape median/max 0.69/0.84; duration median/range 21/2-24 cadences. Top events: t=2317.664 snr=359.5 shape=0.69 dur=24; t=2313.557 snr=332.3 shape=0.72 dur=23; t=2326.041 snr=274.6 shape=0.74 dur=24.,Mixed but usable morphology signal: median shape 0.69 with all rows ingress_egress_ok=True; inspect whether low-shape events are driving noise.,"Events span 73.6 d with median gap 4.09 d, but 4 close pairs under 0.25 d suggest clustering/cadence checks are important.","Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 15/24 events are >=20 cadences, so broad trend/systematic explanations need close review. 4 close event pairs under 0.25 d raise clustering/systematic concerns.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.",Start by checking whether the long high-SNR events are repeated astrophysical-like events or broad K2/systematic depressions.,"Medium-low: events.csv is available and informative, but visual hitmap/phase-offset artifacts are missing, so the assist note should not be treated as a final review.",3,very high top depth_snr; repeated broad high-SNR events worth checking
EPIC_211972767,lowest_composite_score,27.03739295571318,33,385.12869582548734,0.8169500641238717,33,73.697,11.784,385.129,0.715,0.817,17.000,3,13,6,2.605,33 event rows across 73.7 d; depth_snr median/max 11.8/385.1; shape median/max 0.71/0.82; duration median/range 17/2-24 cadences. Top events: t=2373.565 snr=385.1 shape=0.78 dur=22; t=2330.781 snr=265.3 shape=0.70 dur=20; t=2347.923 snr=261.4 shape=0.71 dur=23.,"Event-table morphology looks comparatively coherent: median shape 0.71, all 33 rows have ingress_egress_ok=True. Still verify visually.","Events span 73.7 d with median gap 2.61 d, but 6 close pairs under 0.25 d suggest clustering/cadence checks are important.","Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 6 close event pairs under 0.25 d raise clustering/systematic concerns.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.","Start with the top-SNR events, then verify whether lower-SNR events repeat the same morphology and timing pattern.","Medium: event-table coverage is substantial, but missing visual artifacts still prevent a confident final read.",4,very high top depth_snr; higher median shape score; many event rows; close-pair clustering adds artifact risk
EPIC_211490307,lowest_composite_score,27.03737931139387,31,173.33166761794195,0.8194936608105479,31,74.760,12.982,173.332,0.687,0.819,11.000,6,9,5,2.717,31 event rows across 74.8 d; depth_snr median/max 13.0/173.3; shape median/max 0.69/0.82; duration median/range 11/2-24 cadences. Top events: t=2347.312 snr=173.3 shape=0.77 dur=24; t=2319.116 snr=159.3 shape=0.77 dur=24; t=2351.602 snr=146.2 shape=0.77 dur=24.,Mixed but usable morphology signal: median shape 0.69 with all rows ingress_egress_ok=True; inspect whether low-shape events are driving noise.,"Events span 74.8 d with median gap 2.72 d, but 5 close pairs under 0.25 d suggest clustering/cadence checks are important.","Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 5 close event pairs under 0.25 d raise clustering/systematic concerns.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.","Start with the top-SNR events, then verify whether lower-SNR events repeat the same morphology and timing pattern.","Medium: event-table coverage is substantial, but missing visual artifacts still prevent a confident final read.",2,very high top depth_snr; many event rows; close-pair clustering adds artifact risk
EPIC_211955365,median_composite_score,28.4771135968936,24,105.4200211899059,0.7965873008763289,24,73.350,10.177,105.420,0.717,0.797,18.000,6,11,3,3.351,24 event rows across 73.3 d; depth_snr median/max 10.2/105.4; shape median/max 0.72/0.80; duration median/range 18/2-24 cadences. Top events: t=2378.265 snr=105.4 shape=0.75 dur=24; t=2371.440 snr=101.1 shape=0.72 dur=24; t=2368.151 snr=68.1 shape=0.80 dur=22.,"Event-table morphology looks comparatively coherent: median shape 0.72, all 24 rows have ingress_egress_ok=True. Still verify visually.","Events span 73.3 d with median gap 3.35 d and max gap 6.6 d; spacing is worth checking for repeated structure, not assumed periodic.","Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 11/24 events are >=20 cadences, so broad trend/systematic explanations need close review.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.",Start by checking whether the long high-SNR events are repeated astrophysical-like events or broad K2/systematic depressions.,"Medium-low: events.csv is available and informative, but visual hitmap/phase-offset artifacts are missing, so the assist note should not be treated as a final review.",3,higher median shape score; repeated broad high-SNR events worth checking
EPIC_211537297,median_composite_score,28.468017971168823,35,79.7232939854231,0.7983135201489309,35,71.205,7.174,79.723,0.667,0.798,3.000,10,1,6,1.267,35 event rows across 71.2 d; depth_snr median/max 7.2/79.7; shape median/max 0.67/0.80; duration median/range 3/2-22 cadences. Top events: t=2376.304 snr=79.7 shape=0.79 dur=22; t=2372.708 snr=39.7 shape=0.76 dur=17; t=2346.473 snr=21.4 shape=0.67 dur=3.,Mixed but usable morphology signal: median shape 0.67 with all rows ingress_egress_ok=True; inspect whether low-shape events are driving noise.,"Events span 71.2 d with median gap 1.27 d, but 6 close pairs under 0.25 d suggest clustering/cadence checks are important.","Stage O flags every row here as A2_severe with whiteness underflow, so red-noise/autocorrelation risk remains high. 6 close event pairs under 0.25 d raise clustering/systematic concerns.","Missing/blank artifact references: best_hits_csv, best_misses_csv, best_uncovered_csv, best_hitmap_png, best_phase_offset_png.","Start with the top-SNR events, then verify whether lower-SNR events repeat the same morphology and timing pattern.","Medium: event-table coverage is substantial, but missing visual artifacts still prevent a confident final read.",0,many event rows; close-pair clustering adds artifact risk
