"epic_id","source_batch","best_period_days","stage_g_final_recommendation","final_recommendation","stage_f_label","stage_h_label","visual_label","final_candidate_status","review_bin","status_reason","visual_notes","reviewer","reviewed_at","recommended_next_action","stage_h_notes","phase_0_folded_path","validation_summary_json_path"
"EPIC_211490307","stage_f_next10_batch1","12.80064960272307","","","stage_f_planet_like","","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_211490307\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211490307\validation_summary.json"
"EPIC_211525754","stage_f_next10_batch1","13.198848621046864","","","stage_f_planet_like","","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_211525754\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211525754\validation_summary.json"
"EPIC_211551640","stage_f_next10_batch1","10.563287809098483","","","stage_f_planet_like","","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_211551640\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211551640\validation_summary.json"
"EPIC_211554121","stage_f_next10_batch1","14.057024791287404","","","stage_f_hold","","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_211554121\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211554121\validation_summary.json"
"EPIC_211555255","stage_f_next10_batch1","9.929781530910986","","","stage_f_planet_like","","visual_reject_noise_or_variability","reject_manual_false_positive","manual_false_positive_noise_or_variability","","Folded transit not clean; aliases show similar structure; OOT variability dominates. Likely stellar/systematic false positive.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_211555255\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211555255\validation_summary.json"
"EPIC_211563576","stage_f_next10_batch1","17.142289455598302","","","stage_f_hold","","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_211563576\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211563576\validation_summary.json"
"EPIC_211739276","stage_f_next10_batch1","19.164904292916617","","","stage_f_planet_like","","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_211739276\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211739276\validation_summary.json"
"EPIC_211972200","stage_f_next10_batch1","18.91986675386579","","","stage_f_planet_like","","visual_reject_eclipsing_binary","reject_as_planet_binary_system","real_nonplanet_eclipsing_binary","","Strong coherent repeating astrophysical signal with deep eclipses, long duration, odd/even asymmetry, and secondary-phase structure. Real system, likely EB, not planet.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_211972200\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211972200\validation_summary.json"
"EPIC_212003686","stage_f_next10_batch1","12.44296006046352","","","stage_f_planet_like","","visual_reject_after_manual_review","reject_manual_false_positive","manual_false_positive_visual_review","","Manual visual review did not show convincing planet-like transit morphology.","OC","2026-04-30","","","plots\k2_batch\stage_f_next10\EPIC_212003686\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_212003686\validation_summary.json"
"EPIC_211520800","stage_f_next10_batch2_manual_review","15.569002305841424","","deprioritize_after_manual_visual_review","stage_f_reject","","visual_deprioritize_after_manual_review","deprioritize_after_manual_visual_review","deprioritized_after_manual_visual_review","Human visual review found folds unconvincing relative to top five.","Human visual review found folds unconvincing relative to top five.","OC","2026-04-30","deprioritize after manual visual review","","plots\k2_batch\stage_f_next10_batch2\EPIC_211520800\phase_0_folded.png","plots\k2_batch\stage_f_next10_batch2\EPIC_211520800\validation_summary.json"
