target_id,mission,num_segments,star_score
K2-189,TESS,424,1.0
EPIC 203485624,TESS,433,1.0
TIC 260776145,TESS,136,1.0
TIC 229111835,TESS,547,1.0
TIC 459323923,TESS,418,1.0
TIC 65440953,TESS,462,1.0
TIC 291857895,TESS,120,1.0
TIC 302477411,TESS,465,1.0
EPIC 205489894,TESS,439,1.0
EPIC 204308061,TESS,432,1.0
TIC 257567854,TESS,646,1.0
TIC 452808876,TESS,745,1.0
TIC 458027465,TESS,121,1.0
TIC 298437387,TESS,305,1.0
K2-32,TESS,1935,1.0
TIC 187278212,TESS,423,1.0
TIC 437444661,TESS,1935,1.0
EPIC 212321305,TESS,2295,1.0
TIC 131195882,TESS,335,1.0
TIC 85459171,TESS,438,1.0
TIC 31858844,TESS,2677,1.0
EPIC 212652418,TESS,413,1.0
EPIC 205029914,TESS,602,1.0
TIC 316916655,TESS,747,1.0
EPIC 212311834,TESS,18,1.0
EPIC 203623230,TESS,451,1.0
WASP-157,K2,2141,1.0
EPIC 212370106,TESS,32,1.0
EPIC 212396050,TESS,426,1.0
Wolf 503,TESS,423,1.0
EPIC 204634789,TESS,176,1.0
TIC 22452837,TESS,336,1.0
EPIC 212304395,TESS,2287,1.0
TIC 9804616,TESS,642,1.0
EPIC 204991696,TESS,429,1.0
TIC 441135051,TESS,127,1.0
EPIC 205170731,TESS,177,1.0
TIC 22560356,TESS,335,1.0
TIC 72123144,TESS,336,1.0
TIC 412828754,TESS,637,1.0
TIC 266609407,TESS,671,0.9999998807907104
K2-99,TESS,418,0.9999998807907104
EPIC 204546592,TESS,433,0.9999998807907104
HD 137496,TESS,424,0.9999998211860657
EPIC 204529573,TESS,420,0.9999998211860657
EPIC 204312847,TESS,428,0.9999995231628418
EPIC 212679181,K2,2142,0.9999995231628418
TIC 238239232,TESS,492,0.9999995231628418
KIC 10909274,Kepler,202,0.9999993443489075
KIC 9641031,Kepler,1855,0.9999992251396179
TIC 145368316,TESS,435,0.9999992251396179
EPIC 212624936,TESS,411,0.9999990463256836
KIC 6522750,Kepler,1564,0.9999990463256836
EPIC 211738534,TESS,342,0.9999988675117493
TIC 251743761,TESS,298,0.9999987483024597
KIC 2576692,Kepler,202,0.9999982714653015
HIP 61018,TESS,668,0.9999982714653015
EPIC 204884005,TESS,425,0.9999979734420776
EPIC 203311200,TESS,418,0.9999964833259583
EPIC 203784668,TESS,464,0.9999960064888
KIC 4847832,Kepler,275,0.9999955892562866
TIC 37150278,TESS,511,0.9999946355819702
TIC 187333348,TESS,613,0.9999946355819702
TIC 95423778,TESS,591,0.9999944567680359
EPIC 203914123,TESS,425,0.9999936819076538
KIC 7821010,Kepler,987,0.9999924898147583
TIC 50171060,TESS,1899,0.999991238117218
K2-31,TESS,1899,0.999991238117218
KIC 11959569,Kepler,202,0.9999901652336121
TIC 446616059,TESS,688,0.9999892115592957
TIC 9701368,TESS,420,0.9999877214431763
TIC 71459120,TESS,685,0.9999799728393555
TIC 200775844,TESS,675,0.9999788403511047
TIC 452867348,TESS,795,0.9999745488166809
KIC 2708156,Kepler,987,0.999974250793457
TIC 347553438,TESS,168,0.9999710321426392
EPIC 249373875,TESS,184,0.9999563097953796
K2-287,TESS,428,0.9999560117721558
KIC 8553907,Kepler,202,0.9999534487724304
EPIC 246260670,K2,198,0.9999436140060425
TIC 353225230,TESS,464,0.9999432563781738
EPIC 249401939,TESS,176,0.9999424815177917
EPIC 205242733,TESS,192,0.9999373555183411
K2-278,TESS,416,0.9999354481697083
K2-408,TESS,429,0.9999343752861023
EPIC 203533312,TESS,430,0.9999274015426636
EPIC 205377483,TESS,175,0.9999213218688965
TIC 1100766816,TESS,197,0.9998974800109863
TIC 387844266,TESS,545,0.9998847246170044
EPIC 248740905,TESS,263,0.9998788833618164
EPIC 249822095,TESS,189,0.9998777508735657
TIC 100264497,TESS,540,0.9998401403427124
EPIC 204057095,TESS,425,0.9998391270637512
TIC 242674266,TESS,528,0.999828040599823
EPIC 204276894,TESS,440,0.9998197555541992
TIC 211352962,TESS,894,0.999815821647644
TIC 91576611,TESS,285,0.9998127818107605
EPIC 212454160,TESS,191,0.9998077154159546
EPIC 212560683,TESS,422,0.9996932744979858
EPIC 212586030,TESS,195,0.9996895790100098
KIC 9658118,Kepler,260,0.999678909778595
EPIC 249893012,TESS,418,0.9996329545974731
K2-366,TESS,433,0.9995616674423218
TIC 284300833,TESS,388,0.9994832873344421
K2-190,TESS,424,0.9994568824768066
TIC 71083829,TESS,533,0.9993478655815125
EPIC 212435047,TESS,192,0.9993308782577515
EPIC 212351405,TESS,2278,0.9991263151168823
EPIC 212351868,TESS,192,0.9991263151168823
TIC 101133275,TESS,690,0.9991223216056824
KIC 3439031,Kepler,885,0.9990985989570618
KIC 11913071,Kepler,1640,0.9990598559379578
TIC 119131709,TESS,545,0.9990054965019226
EPIC 202710713,TESS,222,0.9989520907402039
